step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
40	0x1.2e093e0000000p-4	0x1.0019820000000p+0	0x1.f5555a0000000p-1	0x1.5ddb9e0000000p-4	0x1.c5e2fa0000000p+10
41	0x1.cc52640000000p-5	0x1.b3a9120000000p-1	0x1.a763e40000000p-1	0x1.3789640000000p-4	0x1.c5e2fa0000000p+10
42	0x1.da0b400000000p-5	0x1.d4cd240000000p-1	0x1.cb1dc80000000p-1	0x1.2c0f060000000p-4	0x1.c5e2fa0000000p+10
43	0x1.6f9aa40000000p-4	0x1.6813e20000000p+0	0x1.6315760000000p+0	0x1.ec0f6e0000000p-4	0x1.c5e2fa0000000p+10
44	0x1.430e600000000p-4	0x1.f683640000000p-1	0x1.eda24c0000000p-1	0x1.3f00e60000000p-4	0x1.c5e2fa0000000p+10
45	0x1.08952a0000000p-4	0x1.0b7cd60000000p+0	0x1.0544e20000000p+0	0x1.4981640000000p-4	0x1.c5e2fa0000000p+10
46	0x1.2707a00000000p-4	0x1.8c43760000000p-1	0x1.8216ae0000000p-1	0x1.e656a80000000p-5	0x1.c5e2fa0000000p+10
47	0x1.de260e0000000p-4	0x1.5f87ae0000000p+1	0x1.52a4f60000000p+1	0x1.ee791a0000000p-3	0x1.c5e2fa0000000p+10
48	0x1.fb9ab00000000p-5	0x1.84e2d20000000p+0	0x1.7fba240000000p+0	0x1.e6bc420000000p-4	0x1.c5e2fa0000000p+10
49	0x1.df20ee0000000p-5	0x1.3058200000000p-1	0x1.27e3c80000000p-1	0x1.81a6460000000p-5	0x1.c5e2fa0000000p+10
50	0x1.19540e0000000p-4	0x1.d0b5080000000p+0	0x1.cacfa40000000p+0	0x1.4314380000000p-3	0x1.c5e2fa0000000p+10
51	0x1.0c84ee0000000p-4	0x1.870d8c0000000p-1	0x1.7f6e080000000p-1	0x1.ce7d980000000p-5	0x1.c5e2fa0000000p+10
52	0x1.0d44780000000p-4	0x1.9036160000000p-1	0x1.85728c0000000p-1	0x1.fbe0540000000p-5	0x1.c5e2fa0000000p+10
53	0x1.0dd3a60000000p-4	0x1.1006440000000p+0	0x1.0b742a0000000p+0	0x1.4b49a20000000p-4	0x1.c5e2fa0000000p+10
54	0x1.bb71ee0000000p-5	0x1.6f1abe0000000p-1	0x1.68435a0000000p-1	0x1.d960940000000p-5	0x1.c5e2fa0000000p+10
55	0x1.e41c4e0000000p-5	0x1.00ee4c0000000p+0	0x1.f94a2c0000000p-1	0x1.5fba920000000p-4	0x1.c5e2fa0000000p+10
