2026/08/26 20:26:54.583, 1, 0 %, 0 %, 9 MiB, 28.45 W
2026/08/26 20:26:55.083, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:26:55.084, 1, 0 %, 0 %, 9 MiB, 28.47 W
2026/08/26 20:26:55.584, 0, 0 %, 0 %, 1017 MiB, 22.79 W
2026/08/26 20:26:55.584, 1, 0 %, 0 %, 9 MiB, 28.52 W
2026/08/26 20:26:56.084, 0, 0 %, 0 %, 1017 MiB, 22.79 W
2026/08/26 20:26:56.084, 1, 0 %, 0 %, 9 MiB, 28.52 W
2026/08/26 20:26:56.585, 0, 0 %, 0 %, 1017 MiB, 22.80 W
2026/08/26 20:26:56.585, 1, 0 %, 0 %, 9 MiB, 28.52 W
2026/08/26 20:26:57.085, 0, 0 %, 0 %, 1017 MiB, 22.80 W
2026/08/26 20:26:57.085, 1, 0 %, 0 %, 9 MiB, 28.52 W
2026/08/26 20:26:57.585, 0, 0 %, 0 %, 1017 MiB, 22.80 W
2026/08/26 20:26:57.586, 1, 0 %, 0 %, 9 MiB, 28.47 W
2026/08/26 20:26:58.086, 0, 0 %, 0 %, 1017 MiB, 22.80 W
2026/08/26 20:26:58.086, 1, 0 %, 0 %, 9 MiB, 28.47 W
2026/08/26 20:26:58.586, 0, 0 %, 0 %, 1017 MiB, 22.80 W
2026/08/26 20:26:58.587, 1, 0 %, 0 %, 9 MiB, 28.45 W
2026/08/26 20:26:59.087, 0, 0 %, 0 %, 1017 MiB, 22.79 W
2026/08/26 20:26:59.087, 1, 0 %, 0 %, 9 MiB, 28.45 W
2026/08/26 20:26:59.587, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:59.587, 1, 0 %, 0 %, 9 MiB, 28.39 W
2026/08/26 20:27:00.088, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:27:00.088, 1, 0 %, 0 %, 9 MiB, 28.39 W
2026/08/26 20:27:00.588, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:27:00.588, 1, 0 %, 0 %, 9 MiB, 28.40 W
2026/08/26 20:27:01.088, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:27:01.089, 1, 0 %, 0 %, 9 MiB, 28.40 W
2026/08/26 20:27:01.589, 0, 0 %, 0 %, 1017 MiB, 22.79 W
2026/08/26 20:27:01.589, 1, 0 %, 0 %, 9 MiB, 28.40 W
2026/08/26 20:27:02.089, 0, 0 %, 0 %, 1017 MiB, 22.79 W
2026/08/26 20:27:02.090, 1, 0 %, 0 %, 9 MiB, 28.40 W
2026/08/26 20:27:02.590, 0, 0 %, 0 %, 1017 MiB, 22.77 W
2026/08/26 20:27:02.590, 1, 0 %, 0 %, 9 MiB, 28.47 W
2026/08/26 20:27:03.090, 0, 0 %, 0 %, 1017 MiB, 22.77 W
2026/08/26 20:27:03.090, 1, 0 %, 0 %, 9 MiB, 28.47 W
2026/08/26 20:27:03.591, 0, 0 %, 0 %, 1017 MiB, 22.77 W
2026/08/26 20:27:03.591, 1, 0 %, 0 %, 9 MiB, 28.39 W
2026/08/26 20:27:04.091, 0, 0 %, 0 %, 1017 MiB, 22.75 W
2026/08/26 20:27:04.091, 1, 0 %, 0 %, 9 MiB, 28.39 W
2026/08/26 20:27:04.591, 0, 0 %, 0 %, 1017 MiB, 22.77 W
2026/08/26 20:27:04.592, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:05.092, 0, 0 %, 0 %, 1017 MiB, 22.77 W
2026/08/26 20:27:05.092, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:05.592, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:05.593, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:27:06.093, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:06.093, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:27:06.593, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:06.593, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:27:07.094, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:07.094, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:27:07.594, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:07.594, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:08.094, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:08.095, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:08.595, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:08.595, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:09.096, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:09.096, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:09.596, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:09.596, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:10.096, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:10.097, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:10.597, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:27:10.597, 1, 0 %, 0 %, 9 MiB, 28.37 W
2026/08/26 20:27:11.097, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:27:11.097, 1, 0 %, 0 %, 9 MiB, 28.37 W
2026/08/26 20:27:11.597, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:11.598, 1, 0 %, 0 %, 9 MiB, 28.31 W
2026/08/26 20:27:12.098, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:27:12.098, 1, 0 %, 0 %, 9 MiB, 28.31 W
2026/08/26 20:27:12.599, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:12.599, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:13.100, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:13.100, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:13.600, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:13.600, 1, 0 %, 0 %, 9 MiB, 28.31 W
2026/08/26 20:27:14.101, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:27:14.101, 1, 0 %, 0 %, 9 MiB, 28.31 W
2026/08/26 20:27:14.601, 0, 0 %, 0 %, 1017 MiB, 22.91 W
2026/08/26 20:27:14.601, 1, 0 %, 0 %, 9 MiB, 28.34 W
2026/08/26 20:27:15.102, 0, 0 %, 0 %, 1017 MiB, 22.91 W
2026/08/26 20:27:15.102, 1, 0 %, 0 %, 9 MiB, 28.34 W
2026/08/26 20:27:15.602, 0, 0 %, 0 %, 1017 MiB, 22.96 W
2026/08/26 20:27:15.604, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:16.104, 0, 0 %, 0 %, 1017 MiB, 22.96 W
2026/08/26 20:27:16.104, 1, 0 %, 0 %, 9 MiB, 28.36 W
2026/08/26 20:27:16.604, 0, 0 %, 0 %, 1017 MiB, 22.96 W
2026/08/26 20:27:16.605, 1, 0 %, 0 %, 9 MiB, 28.37 W
2026/08/26 20:27:17.105, 0, 0 %, 0 %, 1017 MiB, 22.95 W
2026/08/26 20:27:17.105, 1, 0 %, 0 %, 9 MiB, 28.37 W
2026/08/26 20:27:17.605, 0, 0 %, 0 %, 1017 MiB, 22.93 W
2026/08/26 20:27:17.606, 1, 0 %, 0 %, 9 MiB, 28.34 W
2026/08/26 20:27:18.106, 0, 0 %, 0 %, 1017 MiB, 22.93 W
2026/08/26 20:27:18.106, 1, 0 %, 0 %, 9 MiB, 28.34 W
2026/08/26 20:27:18.606, 0, 0 %, 0 %, 1017 MiB, 22.92 W
2026/08/26 20:27:18.606, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:19.107, 0, 0 %, 0 %, 1017 MiB, 22.92 W
2026/08/26 20:27:19.107, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:19.607, 0, 0 %, 0 %, 1017 MiB, 22.89 W
2026/08/26 20:27:19.607, 1, 0 %, 0 %, 9 MiB, 28.20 W
2026/08/26 20:27:20.107, 0, 0 %, 0 %, 1017 MiB, 22.89 W
2026/08/26 20:27:20.108, 1, 0 %, 0 %, 9 MiB, 28.20 W
2026/08/26 20:27:20.608, 0, 0 %, 0 %, 1017 MiB, 22.90 W
2026/08/26 20:27:20.608, 1, 0 %, 0 %, 9 MiB, 28.25 W
2026/08/26 20:27:21.108, 0, 0 %, 0 %, 1017 MiB, 22.90 W
2026/08/26 20:27:21.108, 1, 0 %, 0 %, 9 MiB, 28.25 W
2026/08/26 20:27:21.609, 0, 0 %, 0 %, 1017 MiB, 22.91 W
2026/08/26 20:27:21.609, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:22.109, 0, 0 %, 0 %, 1017 MiB, 22.91 W
2026/08/26 20:27:22.109, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:22.609, 0, 0 %, 0 %, 1017 MiB, 22.90 W
2026/08/26 20:27:22.610, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:27:23.110, 0, 0 %, 0 %, 1017 MiB, 22.90 W
2026/08/26 20:27:23.110, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:27:23.610, 0, 0 %, 0 %, 1017 MiB, 22.93 W
2026/08/26 20:27:23.611, 1, 0 %, 0 %, 9 MiB, 28.23 W
2026/08/26 20:27:24.111, 0, 0 %, 0 %, 1017 MiB, 22.93 W
2026/08/26 20:27:24.111, 1, 0 %, 0 %, 9 MiB, 28.23 W
2026/08/26 20:27:24.611, 0, 0 %, 0 %, 1017 MiB, 22.97 W
2026/08/26 20:27:24.611, 1, 0 %, 0 %, 9 MiB, 28.17 W
2026/08/26 20:27:25.111, 0, 0 %, 0 %, 1017 MiB, 22.97 W
2026/08/26 20:27:25.112, 1, 0 %, 0 %, 9 MiB, 28.17 W
2026/08/26 20:27:25.612, 0, 0 %, 0 %, 1017 MiB, 22.99 W
2026/08/26 20:27:25.612, 1, 0 %, 0 %, 9 MiB, 28.16 W
2026/08/26 20:27:26.112, 0, 0 %, 0 %, 1017 MiB, 22.99 W
2026/08/26 20:27:26.113, 1, 0 %, 0 %, 9 MiB, 28.16 W
2026/08/26 20:27:26.613, 0, 0 %, 0 %, 1017 MiB, 22.97 W
2026/08/26 20:27:26.613, 1, 0 %, 0 %, 9 MiB, 28.20 W
2026/08/26 20:27:27.113, 0, 0 %, 0 %, 1017 MiB, 22.97 W
2026/08/26 20:27:27.113, 1, 0 %, 0 %, 9 MiB, 28.20 W
2026/08/26 20:27:27.614, 0, 0 %, 0 %, 1017 MiB, 22.98 W
2026/08/26 20:27:27.614, 1, 0 %, 0 %, 9 MiB, 28.20 W
2026/08/26 20:27:28.114, 0, 0 %, 0 %, 1017 MiB, 22.98 W
2026/08/26 20:27:28.114, 1, 0 %, 0 %, 9 MiB, 28.25 W
2026/08/26 20:27:28.614, 0, 0 %, 0 %, 1017 MiB, 22.99 W
2026/08/26 20:27:28.615, 1, 0 %, 0 %, 9 MiB, 28.26 W
2026/08/26 20:27:29.115, 0, 0 %, 0 %, 1017 MiB, 22.99 W
2026/08/26 20:27:29.115, 1, 0 %, 0 %, 9 MiB, 28.26 W
2026/08/26 20:27:29.616, 0, 0 %, 0 %, 1017 MiB, 22.98 W
2026/08/26 20:27:29.616, 1, 0 %, 0 %, 9 MiB, 28.28 W
2026/08/26 20:27:30.116, 0, 0 %, 0 %, 1017 MiB, 22.98 W
2026/08/26 20:27:30.116, 1, 0 %, 0 %, 9 MiB, 28.28 W
2026/08/26 20:27:30.616, 0, 0 %, 0 %, 1017 MiB, 22.96 W
2026/08/26 20:27:30.617, 1, 0 %, 0 %, 9 MiB, 28.29 W
2026/08/26 20:27:31.117, 0, 0 %, 0 %, 1017 MiB, 22.96 W
2026/08/26 20:27:31.117, 1, 0 %, 0 %, 9 MiB, 28.29 W
2026/08/26 20:27:31.617, 0, 0 %, 0 %, 1017 MiB, 22.94 W
2026/08/26 20:27:31.618, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:32.118, 0, 0 %, 0 %, 1017 MiB, 22.94 W
2026/08/26 20:27:32.118, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:32.618, 0, 0 %, 0 %, 1017 MiB, 22.95 W
2026/08/26 20:27:32.618, 1, 0 %, 0 %, 9 MiB, 28.27 W
2026/08/26 20:27:33.119, 0, 0 %, 0 %, 1017 MiB, 22.95 W
2026/08/26 20:27:33.119, 1, 0 %, 0 %, 9 MiB, 28.24 W
2026/08/26 20:27:33.619, 0, 0 %, 0 %, 1033 MiB, 22.97 W
2026/08/26 20:27:33.629, 1, 0 %, 0 %, 25 MiB, 28.25 W
2026/08/26 20:27:34.129, 0, 0 %, 0 %, 44644 MiB, 22.97 W
2026/08/26 20:27:34.130, 1, 3 %, 0 %, 440 MiB, 30.73 W
2026/08/26 20:27:34.630, 0, 0 %, 0 %, 44646 MiB, 46.83 W
2026/08/26 20:27:34.630, 1, 3 %, 0 %, 440 MiB, 36.99 W
2026/08/26 20:27:35.130, 0, 0 %, 0 %, 44646 MiB, 59.47 W
2026/08/26 20:27:35.130, 1, 0 %, 0 %, 440 MiB, 61.37 W
2026/08/26 20:27:35.631, 0, 0 %, 0 %, 44646 MiB, 59.19 W
2026/08/26 20:27:35.631, 1, 0 %, 0 %, 440 MiB, 61.09 W
2026/08/26 20:27:36.131, 0, 0 %, 0 %, 44646 MiB, 59.19 W
2026/08/26 20:27:36.131, 1, 0 %, 0 %, 440 MiB, 61.11 W
2026/08/26 20:27:36.632, 0, 0 %, 0 %, 44646 MiB, 59.19 W
2026/08/26 20:27:36.632, 1, 0 %, 0 %, 440 MiB, 61.11 W
2026/08/26 20:27:37.132, 0, 0 %, 0 %, 44646 MiB, 59.19 W
2026/08/26 20:27:37.132, 1, 0 %, 0 %, 440 MiB, 60.71 W
2026/08/26 20:27:37.632, 0, 0 %, 0 %, 44646 MiB, 59.19 W
2026/08/26 20:27:37.633, 1, 0 %, 0 %, 440 MiB, 60.71 W
2026/08/26 20:27:38.133, 0, 0 %, 0 %, 44646 MiB, 58.80 W
2026/08/26 20:27:38.133, 1, 0 %, 0 %, 440 MiB, 60.71 W
2026/08/26 20:27:38.633, 0, 0 %, 0 %, 44646 MiB, 58.80 W
2026/08/26 20:27:38.634, 1, 0 %, 0 %, 440 MiB, 60.71 W
2026/08/26 20:27:39.134, 0, 0 %, 0 %, 44646 MiB, 58.82 W
2026/08/26 20:27:39.134, 1, 0 %, 0 %, 440 MiB, 60.47 W
2026/08/26 20:27:39.634, 0, 0 %, 0 %, 44646 MiB, 58.82 W
2026/08/26 20:27:39.634, 1, 0 %, 0 %, 440 MiB, 60.51 W
2026/08/26 20:27:40.135, 0, 0 %, 0 %, 44646 MiB, 58.84 W
2026/08/26 20:27:40.135, 1, 0 %, 0 %, 440 MiB, 60.51 W
2026/08/26 20:27:40.635, 0, 0 %, 0 %, 44646 MiB, 58.84 W
2026/08/26 20:27:40.635, 1, 0 %, 0 %, 440 MiB, 60.51 W
2026/08/26 20:27:41.136, 0, 0 %, 0 %, 44646 MiB, 58.84 W
2026/08/26 20:27:41.136, 1, 0 %, 0 %, 440 MiB, 60.53 W
2026/08/26 20:27:41.636, 0, 0 %, 0 %, 44646 MiB, 58.77 W
2026/08/26 20:27:41.636, 1, 0 %, 0 %, 440 MiB, 60.53 W
2026/08/26 20:27:42.136, 0, 0 %, 0 %, 44646 MiB, 58.73 W
2026/08/26 20:27:42.137, 1, 0 %, 0 %, 440 MiB, 60.53 W
2026/08/26 20:27:42.637, 0, 0 %, 0 %, 44646 MiB, 58.73 W
2026/08/26 20:27:42.637, 1, 0 %, 0 %, 440 MiB, 60.57 W
2026/08/26 20:27:43.137, 0, 0 %, 0 %, 44646 MiB, 58.70 W
2026/08/26 20:27:43.137, 1, 0 %, 0 %, 440 MiB, 60.62 W
2026/08/26 20:27:43.637, 0, 0 %, 0 %, 44646 MiB, 58.70 W
2026/08/26 20:27:43.638, 1, 0 %, 0 %, 440 MiB, 60.62 W
2026/08/26 20:27:44.138, 0, 0 %, 0 %, 44646 MiB, 58.73 W
2026/08/26 20:27:44.138, 1, 0 %, 0 %, 440 MiB, 60.63 W
2026/08/26 20:27:44.638, 0, 0 %, 0 %, 44646 MiB, 58.73 W
2026/08/26 20:27:44.639, 1, 0 %, 0 %, 440 MiB, 60.63 W
2026/08/26 20:27:45.139, 0, 0 %, 0 %, 44646 MiB, 58.76 W
2026/08/26 20:27:45.139, 1, 0 %, 0 %, 440 MiB, 60.67 W
2026/08/26 20:27:45.639, 0, 0 %, 0 %, 44646 MiB, 58.76 W
2026/08/26 20:27:45.639, 1, 0 %, 0 %, 440 MiB, 60.67 W
2026/08/26 20:27:46.140, 0, 0 %, 0 %, 44646 MiB, 58.75 W
2026/08/26 20:27:46.140, 1, 0 %, 0 %, 440 MiB, 60.67 W
2026/08/26 20:27:46.640, 0, 0 %, 0 %, 44646 MiB, 58.75 W
2026/08/26 20:27:46.640, 1, 0 %, 0 %, 440 MiB, 60.67 W
2026/08/26 20:27:47.141, 0, 0 %, 0 %, 44646 MiB, 59.66 W
2026/08/26 20:27:47.203, 1, 0 %, 0 %, 440 MiB, 61.29 W
2026/08/26 20:27:47.824, 0, 0 %, 0 %, 44646 MiB, 59.66 W
2026/08/26 20:27:47.824, 1, 0 %, 0 %, 440 MiB, 63.06 W
2026/08/26 20:27:48.325, 0, 0 %, 0 %, 44646 MiB, 64.57 W
2026/08/26 20:27:48.355, 1, 0 %, 0 %, 440 MiB, 63.06 W
2026/08/26 20:27:48.974, 0, 0 %, 0 %, 44646 MiB, 70.66 W
2026/08/26 20:27:48.974, 1, 0 %, 0 %, 440 MiB, 65.44 W
2026/08/26 20:27:49.475, 0, 0 %, 0 %, 44646 MiB, 70.66 W
2026/08/26 20:27:49.498, 1, 0 %, 0 %, 440 MiB, 65.44 W
2026/08/26 20:27:50.121, 0, 0 %, 0 %, 44646 MiB, 77.02 W
2026/08/26 20:27:50.121, 1, 0 %, 0 %, 440 MiB, 66.31 W
2026/08/26 20:27:50.622, 0, 0 %, 0 %, 44646 MiB, 77.02 W
2026/08/26 20:27:50.644, 1, 0 %, 0 %, 440 MiB, 66.31 W
2026/08/26 20:27:51.265, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:51.266, 1, 0 %, 0 %, 440 MiB, 66.68 W
