step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
15	0x1.0549840000000p-1	0x1.4954c00000000p+4	0x1.07d9d40000000p+4	0x1.7fed340000000p+3	0x1.c2c5e20000000p+10
16	0x1.03f86e0000000p-1	0x1.fc00100000000p+4	0x1.955d720000000p+4	0x1.2a9d1a0000000p+4	0x1.c2c5e20000000p+10
17	0x1.2af6660000000p-1	0x1.63eca80000000p+6	0x1.0a72360000000p+6	0x1.d690aa0000000p+5	0x1.c2c5e20000000p+10
18	0x1.b5f1140000000p-2	0x1.2444a80000000p+6	0x1.b8b01c0000000p+5	0x1.7decd40000000p+5	0x1.c2c5e20000000p+10
19	0x1.1d59be0000000p-1	0x1.8a97ec0000000p+5	0x1.279e060000000p+5	0x1.02df280000000p+5	0x1.c2c5e20000000p+10
20	0x1.3211140000000p-1	0x1.ad41400000000p+5	0x1.58c11a0000000p+5	0x1.fb61d60000000p+4	0x1.c2c5e20000000p+10
21	0x1.d6b6060000000p-2	0x1.04fb5c0000000p+6	0x1.81d4d80000000p+5	0x1.5d928a0000000p+5	0x1.c2c5e20000000p+10
22	0x1.937fa60000000p-2	0x1.3b15d80000000p+5	0x1.d48d0e0000000p+4	0x1.a1bbb80000000p+4	0x1.c2c5e20000000p+10
23	0x1.bde6a60000000p-2	0x1.a958fa0000000p+6	0x1.3efbd20000000p+6	0x1.18e9e80000000p+6	0x1.c2c5e20000000p+10
24	0x1.ffbea60000000p-2	0x1.c700c00000000p+5	0x1.54e0640000000p+5	0x1.2c1ebc0000000p+5	0x1.c2c5e20000000p+10
25	0x1.b053200000000p-2	0x1.c0e0820000000p+6	0x1.5060ea0000000p+6	0x1.28d9440000000p+6	0x1.c2c5e20000000p+10
26	0x1.a5d26e0000000p-2	0x1.6954e60000000p+6	0x1.0df5180000000p+6	0x1.dfc06e0000000p+5	0x1.c2c5e20000000p+10
27	0x1.b6ece00000000p-2	0x1.16a9ba0000000p+5	0x1.b62b6c0000000p+4	0x1.53ec0c0000000p+4	0x1.c2c5e20000000p+10
28	0x1.b5ffd40000000p-2	0x1.7418ee0000000p+6	0x1.14877e0000000p+6	0x1.f119f20000000p+5	0x1.c2c5e20000000p+10
29	0x1.d0b5e40000000p-2	0x1.974da80000000p+5	0x1.2be0140000000p+5	0x1.11ff6e0000000p+5	0x1.c2c5e20000000p+10
30	0x1.09aede0000000p-1	0x1.16a45a0000000p+7	0x1.a082a40000000p+6	0x1.71de7c0000000p+6	0x1.c2c5e20000000p+10
31	0x1.bfc76e0000000p-2	0x1.4997680000000p+6	0x1.f526a60000000p+5	0x1.ab40740000000p+5	0x1.c2c5e20000000p+10
32	0x1.ee2d7a0000000p-3	0x1.e6c4580000000p+5	0x1.6675320000000p+5	0x1.4851d60000000p+5	0x1.c2c5e20000000p+10
33	0x1.2154e00000000p-2	0x1.5a85ac0000000p+5	0x1.ffbca80000000p+4	0x1.d2063c0000000p+4	0x1.c2c5e20000000p+10
34	0x1.63821a0000000p-2	0x1.75e7260000000p+5	0x1.1494480000000p+5	0x1.f52fc00000000p+4	0x1.c2c5e20000000p+10
35	0x1.f8bf7a0000000p-3	0x1.8c80820000000p+5	0x1.2a42c20000000p+5	0x1.040f020000000p+5	0x1.c2c5e20000000p+10
36	0x1.8f8d160000000p-2	0x1.8d3dba0000000p+4	0x1.268c760000000p+4	0x1.0744400000000p+4	0x1.c2c5e20000000p+10
37	0x1.f33e260000000p-3	0x1.7e6a700000000p+4	0x1.27030a0000000p+4	0x1.e2b1f60000000p+3	0x1.c2c5e20000000p+10
