step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.ad3fce0000000p-2	0x1.4d64700000000p+4	0x1.0fa93e0000000p+4	0x1.700eb80000000p+3	0x1.c2c5e20000000p+10
42	0x1.c4615a0000000p-2	0x1.671ff00000000p+6	0x1.0ff9460000000p+6	0x1.d4892a0000000p+5	0x1.c2c5e20000000p+10
43	0x1.7b1ad20000000p-2	0x1.7b670c0000000p+6	0x1.1978180000000p+6	0x1.fbcf200000000p+5	0x1.c2c5e20000000p+10
44	0x1.bd1ece0000000p-3	0x1.00b3680000000p+6	0x1.8521700000000p+5	0x1.4eb7060000000p+5	0x1.c2c5e20000000p+10
45	0x1.926bb40000000p-2	0x1.d587ba0000000p+5	0x1.5c56200000000p+5	0x1.3a38160000000p+5	0x1.c2c5e20000000p+10
46	0x1.d5d1240000000p-3	0x1.88ab0a0000000p+5	0x1.23c40e0000000p+5	0x1.0671fa0000000p+5	0x1.c2c5e20000000p+10
47	0x1.7ef37e0000000p-2	0x1.322e940000000p+4	0x1.d65f280000000p+3	0x1.7cdef00000000p+3	0x1.c2c5e20000000p+10
48	0x1.ab66ee0000000p-3	0x1.4301e00000000p+5	0x1.e024580000000p+4	0x1.af4d640000000p+4	0x1.c2c5e20000000p+10
49	0x1.92bf8a0000000p-3	0x1.7c91160000000p+2	0x1.28bd540000000p+2	0x1.bfb12c0000000p+1	0x1.c2c5e20000000p+10
50	0x1.7756060000000p-2	0x1.c0803a0000000p+6	0x1.4d532a0000000p+6	0x1.2bdd560000000p+6	0x1.c2c5e20000000p+10
51	0x1.fafcce0000000p-3	0x1.8d38ba0000000p+7	0x1.29d4060000000p+7	0x1.06c6080000000p+7	0x1.c2c5e20000000p+10
52	0x1.01af4a0000000p-2	0x1.3117e20000000p+3	0x1.e096fc0000000p+2	0x1.690dea0000000p+2	0x1.c2c5e20000000p+10
53	0x1.1274360000000p-2	0x1.1027ea0000000p+4	0x1.ae04040000000p+3	0x1.47678a0000000p+3	0x1.c2c5e20000000p+10
54	0x1.148f240000000p-2	0x1.e489500000000p+3	0x1.7093700000000p+3	0x1.3634a40000000p+3	0x1.c2c5e20000000p+10
55	0x1.92c0ce0000000p-3	0x1.b4d4660000000p+2	0x1.6d28320000000p+2	0x1.aceb6e0000000p+1	0x1.c2c5e20000000p+10
56	0x1.be4fae0000000p-3	0x1.9988b80000000p+3	0x1.3b83da0000000p+3	0x1.fef12c0000000p+2	0x1.c2c5e20000000p+10
57	0x1.fa27c40000000p-3	0x1.3e75940000000p+3	0x1.0aaa260000000p+3	0x1.3af4ca0000000p+2	0x1.c2c5e20000000p+10
58	0x1.b7b97e0000000p-3	0x1.6a9caa0000000p+2	0x1.25dc600000000p+2	0x1.77354e0000000p+1	0x1.c2c5e20000000p+10
59	0x1.72c9a00000000p-3	0x1.a35a1e0000000p+1	0x1.4ea6360000000p+1	0x1.b0cfa40000000p+0	0x1.c2c5e20000000p+10
60	0x1.82d49c0000000p-3	0x1.aa35fc0000000p+2	0x1.49927a0000000p+2	0x1.070b2a0000000p+2	0x1.c2c5e20000000p+10
61	0x1.4f73440000000p-3	0x1.d20b660000000p+1	0x1.6d1d540000000p+1	0x1.01316e0000000p+1	0x1.c2c5e20000000p+10
62	0x1.5157e20000000p-3	0x1.5c75880000000p+2	0x1.155cc60000000p+2	0x1.94755a0000000p+1	0x1.c2c5e20000000p+10
63	0x1.bf167a0000000p-3	0x1.778c7e0000000p+2	0x1.2ed5920000000p+2	0x1.9ac6560000000p+1	0x1.c2c5e20000000p+10
64	0x1.65de0e0000000p-3	0x1.560c340000000p+3	0x1.057b500000000p+3	0x1.b539400000000p+2	0x1.c2c5e20000000p+10
65	0x1.cee6a00000000p-3	0x1.73f87a0000000p+2	0x1.25d2be0000000p+2	0x1.93bd240000000p+1	0x1.c2c5e20000000p+10
66	0x1.919dd60000000p-3	0x1.088dba0000000p+3	0x1.96d7ac0000000p+2	0x1.42db3c0000000p+2	0x1.c2c5e20000000p+10
67	0x1.24fa540000000p-3	0x1.299ca20000000p+2	0x1.d204a40000000p+1	0x1.5fb2c80000000p+1	0x1.c2c5e20000000p+10
68	0x1.44f8be0000000p-3	0x1.1f8aea0000000p+2	0x1.bdf84e0000000p+1	0x1.5a17300000000p+1	0x1.c2c5e20000000p+10
69	0x1.21792a0000000p-3	0x1.614b380000000p+2	0x1.165d740000000p+2	0x1.a7aa380000000p+1	0x1.c2c5e40000000p+10
70	0x1.9431400000000p-3	0x1.04d0320000000p+6	0x1.873d6a0000000p+5	0x1.58c5d00000000p+5	0x1.c2c5e20000000p+10
71	0x1.0950000000000p-3	0x1.89914c0000000p+2	0x1.2b578c0000000p+2	0x1.f6e23a0000000p+1	0x1.c2c5e20000000p+10
72	0x1.25408a0000000p-3	0x1.36fb080000000p+2	0x1.ee0b040000000p+1	0x1.6b1d7c0000000p+1	0x1.c2c5e20000000p+10
73	0x1.dee44a0000000p-4	0x1.bd2cde0000000p+1	0x1.640ed00000000p+1	0x1.fdb7280000000p+0	0x1.c2c5e20000000p+10
74	0x1.4ed6300000000p-3	0x1.342ea80000000p+2	0x1.e2e07c0000000p+1	0x1.5b1bac0000000p+1	0x1.c2c5e20000000p+10
75	0x1.5572460000000p-3	0x1.fde7900000000p+2	0x1.90c5f60000000p+2	0x1.351ba00000000p+2	0x1.c2c5e20000000p+10
76	0x1.d710860000000p-3	0x1.08e9de0000000p+5	0x1.8d13900000000p+4	0x1.5dfec60000000p+4	0x1.c2c5e20000000p+10
77	0x1.09f1f60000000p-2	0x1.09be760000000p+4	0x1.b63dd00000000p+3	0x1.1b22720000000p+3	0x1.c2c5e40000000p+10
78	0x1.1e6e160000000p-2	0x1.8f03a00000000p+6	0x1.3194d00000000p+6	0x1.006a6e0000000p+6	0x1.c2c5e20000000p+10
79	0x1.0f0aee0000000p-3	0x1.cda9340000000p+1	0x1.69e7e60000000p+1	0x1.05dc700000000p+1	0x1.c2c5e20000000p+10
80	0x1.53ba6e0000000p-3	0x1.8140ec0000000p+2	0x1.3633f00000000p+2	0x1.a9c4a20000000p+1	0x1.c2c5e40000000p+10
81	0x1.2a94060000000p-3	0x1.2dc0120000000p+5	0x1.ced2a00000000p+4	0x1.831e920000000p+4	0x1.c2c5e20000000p+10
82	0x1.2554b20000000p-3	0x1.74fa740000000p+4	0x1.1622680000000p+4	0x1.f001fa0000000p+3	0x1.c2c5e20000000p+10
