2026/09/14 19:22:45.697, 0, 99, 75887
2026/09/14 19:22:45.704, 1, 100, 75887
2026/09/14 19:22:45.705, 2, 99, 75887
2026/09/14 19:22:45.706, 3, 99, 75887
2026/09/14 19:22:45.708, 4, 0, 0
2026/09/14 19:22:45.709, 5, 0, 0
2026/09/14 19:22:45.709, 6, 0, 0
2026/09/14 19:22:45.710, 7, 0, 0
2026/09/14 19:22:46.211, 0, 100, 75887
2026/09/14 19:22:46.211, 1, 97, 75887
2026/09/14 19:22:46.211, 2, 100, 75887
2026/09/14 19:22:46.211, 3, 97, 75887
2026/09/14 19:22:46.211, 4, 0, 0
2026/09/14 19:22:46.211, 5, 0, 0
2026/09/14 19:22:46.211, 6, 0, 0
2026/09/14 19:22:46.211, 7, 0, 0
2026/09/14 19:22:46.712, 0, 100, 75887
2026/09/14 19:22:46.712, 1, 100, 75887
2026/09/14 19:22:46.712, 2, 100, 75887
2026/09/14 19:22:46.712, 3, 100, 75887
2026/09/14 19:22:46.712, 4, 0, 0
2026/09/14 19:22:46.712, 5, 0, 0
2026/09/14 19:22:46.712, 6, 0, 0
2026/09/14 19:22:46.712, 7, 0, 0
2026/09/14 19:22:47.212, 0, 99, 75887
2026/09/14 19:22:47.212, 1, 99, 75887
2026/09/14 19:22:47.212, 2, 94, 75887
2026/09/14 19:22:47.212, 3, 100, 75887
2026/09/14 19:22:47.212, 4, 0, 0
2026/09/14 19:22:47.212, 5, 0, 0
2026/09/14 19:22:47.212, 6, 0, 0
2026/09/14 19:22:47.212, 7, 0, 0
2026/09/14 19:22:47.712, 0, 96, 75887
2026/09/14 19:22:47.712, 1, 97, 75887
2026/09/14 19:22:47.712, 2, 100, 75887
2026/09/14 19:22:47.712, 3, 97, 75887
2026/09/14 19:22:47.713, 4, 0, 0
2026/09/14 19:22:47.713, 5, 0, 0
2026/09/14 19:22:47.713, 6, 0, 0
2026/09/14 19:22:47.713, 7, 0, 0
2026/09/14 19:22:48.213, 0, 100, 75887
2026/09/14 19:22:48.213, 1, 100, 75887
2026/09/14 19:22:48.213, 2, 99, 75887
2026/09/14 19:22:48.213, 3, 99, 75887
2026/09/14 19:22:48.213, 4, 0, 0
2026/09/14 19:22:48.213, 5, 0, 0
2026/09/14 19:22:48.213, 6, 0, 0
2026/09/14 19:22:48.213, 7, 0, 0
2026/09/14 19:22:48.713, 0, 94, 75887
2026/09/14 19:22:48.713, 1, 99, 75887
2026/09/14 19:22:48.713, 2, 95, 75887
2026/09/14 19:22:48.713, 3, 100, 75887
2026/09/14 19:22:48.713, 4, 0, 0
2026/09/14 19:22:48.713, 5, 0, 0
2026/09/14 19:22:48.713, 6, 0, 0
2026/09/14 19:22:48.713, 7, 0, 0
2026/09/14 19:22:49.213, 0, 100, 75887
2026/09/14 19:22:49.216, 1, 100, 75887
2026/09/14 19:22:49.216, 2, 100, 75887
2026/09/14 19:22:49.216, 3, 100, 75887
2026/09/14 19:22:49.216, 4, 0, 0
2026/09/14 19:22:49.217, 5, 0, 0
2026/09/14 19:22:49.217, 6, 0, 0
2026/09/14 19:22:49.217, 7, 0, 0
2026/09/14 19:22:49.717, 0, 99, 75887
2026/09/14 19:22:49.724, 1, 100, 75887
2026/09/14 19:22:49.725, 2, 99, 75887
2026/09/14 19:22:49.725, 3, 99, 75887
2026/09/14 19:22:49.725, 4, 0, 1
2026/09/14 19:22:49.725, 5, 0, 1
2026/09/14 19:22:49.725, 6, 0, 1
2026/09/14 19:22:49.725, 7, 0, 4
2026/09/14 19:22:50.226, 0, 94, 75887
2026/09/14 19:22:50.248, 1, 95, 75887
2026/09/14 19:22:50.248, 2, 98, 75887
2026/09/14 19:22:50.248, 3, 93, 75887
2026/09/14 19:22:50.248, 4, 0, 20
2026/09/14 19:22:50.250, 5, 0, 20
