step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.02ac6e0000000p-2	0x1.00a5800000000p+3	0x1.a89aea0000000p+2	0x1.0ce7320000000p+2	0x1.c2c5e20000000p+10
42	0x1.17e1ae0000000p-2	0x1.d968c20000000p+2	0x1.87e80a0000000p+2	0x1.ecf2e80000000p+1	0x1.c2c5e20000000p+10
43	0x1.ab16260000000p-3	0x1.2e3d7a0000000p+2	0x1.f2430e0000000p+1	0x1.3211e00000000p+1	0x1.c2c5e20000000p+10
44	0x1.b06d2e0000000p-3	0x1.40eb420000000p+2	0x1.08511c0000000p+2	0x1.4ad0e60000000p+1	0x1.c2c5e20000000p+10
45	0x1.ffe50e0000000p-3	0x1.01b4120000000p+3	0x1.9ed7e20000000p+2	0x1.2552220000000p+2	0x1.c2c5e20000000p+10
46	0x1.ae84500000000p-3	0x1.4f2dac0000000p+2	0x1.1150f20000000p+2	0x1.63e9fe0000000p+1	0x1.c2c5e20000000p+10
47	0x1.db065a0000000p-3	0x1.2ad4460000000p+2	0x1.eab8720000000p+1	0x1.28b6460000000p+1	0x1.c2c5e20000000p+10
48	0x1.c1170e0000000p-3	0x1.3acae00000000p+3	0x1.e2ff7a0000000p+2	0x1.8d39e60000000p+2	0x1.c2c5e20000000p+10
49	0x1.7062660000000p-3	0x1.0db2580000000p+2	0x1.9d8d4e0000000p+1	0x1.4544b80000000p+1	0x1.c2c5e20000000p+10
50	0x1.77114e0000000p-3	0x1.1eb0ce0000000p+2	0x1.c39ca80000000p+1	0x1.4845000000000p+1	0x1.c2c5e20000000p+10
51	0x1.66c6520000000p-3	0x1.bf52d80000000p+2	0x1.5366780000000p+2	0x1.1d347e0000000p+2	0x1.c2c5e20000000p+10
52	0x1.72bf860000000p-3	0x1.a4b59c0000000p+2	0x1.378c080000000p+2	0x1.1521b80000000p+2	0x1.c2c5e20000000p+10
53	0x1.7baa7c0000000p-3	0x1.7afe480000000p+2	0x1.26487c0000000p+2	0x1.cf19d00000000p+1	0x1.c2c5e20000000p+10
54	0x1.593b500000000p-3	0x1.855e8c0000000p+2	0x1.25cb1a0000000p+2	0x1.f39e780000000p+1	0x1.c2c5e20000000p+10
55	0x1.a32df60000000p-3	0x1.9882ce0000000p+2	0x1.48aa8a0000000p+2	0x1.d74f440000000p+1	0x1.c2c5e20000000p+10
56	0x1.4340460000000p-3	0x1.6607fc0000000p+1	0x1.1b06dc0000000p+1	0x1.8072aa0000000p+0	0x1.c2c5e20000000p+10
57	0x1.4a1e1e0000000p-3	0x1.2bde620000000p+2	0x1.cc799c0000000p+1	0x1.729b660000000p+1	0x1.c2c5e20000000p+10
58	0x1.62997e0000000p-3	0x1.e5b14e0000000p+4	0x1.71ec2c0000000p+4	0x1.3a679c0000000p+4	0x1.c2c5e20000000p+10
59	0x1.8d91dc0000000p-3	0x1.27c4ee0000000p+2	0x1.e06e520000000p+1	0x1.4ae9040000000p+1	0x1.c2c5e40000000p+10
60	0x1.5e66b40000000p-3	0x1.6373880000000p+4	0x1.0ed2120000000p+4	0x1.cbe0260000000p+3	0x1.c2c5e20000000p+10
61	0x1.6047fe0000000p-3	0x1.a50ff40000000p+3	0x1.47d6260000000p+3	0x1.06d4d60000000p+3	0x1.c2c5e20000000p+10
62	0x1.3da3ce0000000p-3	0x1.ab7a2c0000000p+4	0x1.46c5e40000000p+4	0x1.1367800000000p+4	0x1.c2c5e40000000p+10
63	0x1.4ef8c20000000p-3	0x1.6c70e40000000p+4	0x1.126bc00000000p+4	0x1.df34dc0000000p+3	0x1.c2c5e40000000p+10
