step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.dd4a200000000p-2	0x1.2b599a0000000p+5	0x1.a4efb00000000p+4	0x1.a7a65e0000000p+4	0x1.c2dda00000000p+10
42	0x1.67eb3a0000000p-2	0x1.59c2220000000p+4	0x1.fa71ba0000000p+3	0x1.d183080000000p+3	0x1.c2dda00000000p+10
43	0x1.8a56840000000p-2	0x1.7bb32c0000000p+5	0x1.03ae8c0000000p+5	0x1.147d600000000p+5	0x1.c2dda40000000p+10
44	0x1.f1c3aa0000000p-3	0x1.2841a80000000p+5	0x1.a8fc020000000p+4	0x1.9b4ede0000000p+4	0x1.c2dda00000000p+10
45	0x1.b5668e0000000p-2	0x1.46772e0000000p+7	0x1.d85c3a0000000p+6	0x1.c2a9fa0000000p+6	0x1.c2dda40000000p+10
46	0x1.4599b20000000p-2	0x1.5ed6a80000000p+5	0x1.e274f60000000p+4	0x1.fca4380000000p+4	0x1.c2dda40000000p+10
47	0x1.0bc4ca0000000p-1	0x1.eb86460000000p+4	0x1.73fc7e0000000p+4	0x1.37ade40000000p+4	0x1.c2dda40000000p+10
48	0x1.08912e0000000p-2	0x1.d0c26c0000000p+5	0x1.4ca6340000000p+5	0x1.4431e60000000p+5	0x1.c2dda40000000p+10
49	0x1.4ff4340000000p-2	0x1.128fc60000000p+6	0x1.a9152a0000000p+5	0x1.5b34000000000p+5	0x1.c2dda40000000p+10
50	0x1.ba1d600000000p-2	0x1.7d0a120000000p+4	0x1.2a5ade0000000p+4	0x1.d0798c0000000p+3	0x1.c2dda00000000p+10
51	0x1.02023c0000000p-2	0x1.0799c40000000p+5	0x1.7cd6ce0000000p+4	0x1.6bc5500000000p+4	0x1.c2dda40000000p+10
52	0x1.58ef260000000p-2	0x1.f79c4a0000000p+4	0x1.5747de0000000p+4	0x1.6ed8820000000p+4	0x1.c2dda40000000p+10
53	0x1.46af060000000p-2	0x1.cc61560000000p+5	0x1.40b2e80000000p+5	0x1.48bc2a0000000p+5	0x1.c2dda40000000p+10
54	0x1.4bd2f60000000p-2	0x1.f4692c0000000p+5	0x1.691e5e0000000p+5	0x1.5a044a0000000p+5	0x1.c2dda40000000p+10
55	0x1.3a2a220000000p-2	0x1.214d160000000p+5	0x1.822dd80000000p+4	0x1.ae0ac80000000p+4	0x1.c2dda40000000p+10
56	0x1.0cc9400000000p-2	0x1.13aae20000000p+5	0x1.6816400000000p+4	0x1.a0bb0e0000000p+4	0x1.c2dda40000000p+10
57	0x1.05bff40000000p-2	0x1.0b11e00000000p+6	0x1.8476420000000p+5	0x1.6e50b20000000p+5	0x1.c2dda40000000p+10
58	0x1.0797e60000000p-1	0x1.fc0c0a0000000p+5	0x1.60b4b80000000p+5	0x1.6cdb320000000p+5	0x1.c2dda40000000p+10
59	0x1.facaa60000000p-3	0x1.f24b7e0000000p+4	0x1.5c3ff00000000p+4	0x1.63ea880000000p+4	0x1.c2dda40000000p+10
60	0x1.b2bd560000000p-3	0x1.4eaa900000000p+5	0x1.feb6000000000p+4	0x1.af72e80000000p+4	0x1.c2dda40000000p+10
61	0x1.921e960000000p-3	0x1.f7dfae0000000p+5	0x1.68a3140000000p+5	0x1.5fc8720000000p+5	0x1.c2dda40000000p+10
62	0x1.7d862e0000000p-3	0x1.e5f78a0000000p+4	0x1.5f875a0000000p+4	0x1.4f298a0000000p+4	0x1.c2dda40000000p+10
63	0x1.32c13e0000000p-2	0x1.0282720000000p+7	0x1.70f8140000000p+6	0x1.6a180e0000000p+6	0x1.c2dda40000000p+10
64	0x1.5626300000000p-3	0x1.9645d60000000p+2	0x1.3d5dee0000000p+2	0x1.e6739a0000000p+1	0x1.c2dda40000000p+10
65	0x1.3d5d360000000p-2	0x1.0392560000000p+4	0x1.8d8aa20000000p+3	0x1.45901a0000000p+3	0x1.c2dda40000000p+10
66	0x1.e300140000000p-3	0x1.2859880000000p+4	0x1.c0355a0000000p+3	0x1.8037700000000p+3	0x1.c2dda40000000p+10
