1787614222,0, 0, 0
1787614222,1, 0, 0
1787614222,2, 0, 0
1787614222,3, 0, 0
1787614237,0, 0, 0
1787614237,1, 0, 0
1787614237,2, 0, 0
1787614237,3, 0, 0
1787614253,0, 0, 43495
1787614253,1, 0, 273
1787614253,2, 0, 273
1787614253,3, 0, 273
1787614268,0, 0, 43495
1787614268,1, 0, 273
1787614268,2, 0, 273
1787614268,3, 0, 273
1787614283,0, 0, 43495
1787614283,1, 0, 273
1787614283,2, 0, 273
1787614283,3, 0, 273
1787614298,0, 0, 43495
1787614298,1, 0, 273
1787614298,2, 0, 273
1787614298,3, 0, 273
1787614313,0, 0, 43495
1787614313,1, 0, 273
1787614313,2, 0, 273
1787614313,3, 0, 273
1787614328,0, 0, 43655
1787614328,1, 0, 43651
1787614328,2, 0, 43651
1787614328,3, 0, 43651
1787614343,0, 0, 43671
1787614343,1, 0, 43667
1787614343,2, 0, 43667
1787614343,3, 50, 43667
1787614358,0, 0, 43671
1787614358,1, 0, 43667
1787614358,2, 0, 43667
1787614358,3, 0, 43667
1787614373,0, 0, 43671
1787614373,1, 0, 43667
1787614373,2, 0, 43667
1787614373,3, 0, 43667
1787614388,0, 0, 43671
1787614388,1, 0, 43667
1787614388,2, 0, 43667
1787614388,3, 0, 43667
1787614403,0, 0, 43671
1787614403,1, 0, 43667
1787614403,2, 0, 43667
1787614403,3, 0, 43667
1787614418,0, 0, 43671
1787614418,1, 0, 43667
1787614418,2, 0, 43667
1787614418,3, 0, 43667
1787614434,0, 2, 43685
1787614434,1, 0, 43667
1787614434,2, 0, 43667
1787614434,3, 0, 43667
1787614449,0, 99, 43705
1787614449,1, 0, 43667
1787614449,2, 0, 43667
1787614449,3, 0, 43667
1787614464,0, 0, 43705
1787614464,1, 0, 43667
1787614464,2, 0, 43667
1787614464,3, 0, 43667
1787614479,0, 0, 43705
1787614479,1, 0, 43667
1787614479,2, 0, 43667
1787614479,3, 0, 43667
1787614494,0, 0, 43705
1787614494,1, 0, 43667
1787614494,2, 0, 43667
1787614494,3, 0, 43667
1787614509,0, 0, 43817
1787614509,1, 0, 43801
1787614509,2, 0, 43801
1787614509,3, 0, 43801
1787614524,0, 100, 43817
1787614524,1, 100, 43801
1787614524,2, 100, 43801
1787614524,3, 100, 43801
1787614539,0, 100, 43817
1787614539,1, 100, 43801
1787614539,2, 100, 43801
