2026/08/27 13:13:56.959, 0, 0 %, 0 %, 1017 MiB, 49.30 W
2026/08/27 13:13:56.962, 1, 0 %, 0 %, 9 MiB, 87.05 W
2026/08/27 13:14:11.963, 0, 0 %, 0 %, 1017 MiB, 58.92 W
2026/08/27 13:14:11.966, 1, 0 %, 0 %, 9 MiB, 86.44 W
2026/08/27 13:14:27.057, 0, 0 %, 0 %, 1017 MiB, 54.47 W
2026/08/27 13:14:27.162, 1, 0 %, 0 %, 9 MiB, 82.18 W
2026/08/27 13:14:42.281, 0, 0 %, 0 %, 1017 MiB, 57.18 W
2026/08/27 13:14:42.349, 1, 0 %, 0 %, 9 MiB, 78.12 W
2026/08/27 13:14:57.462, 0, 0 %, 0 %, 1017 MiB, 53.30 W
2026/08/27 13:14:57.549, 1, 0 %, 0 %, 9 MiB, 83.43 W
2026/08/27 13:15:12.665, 0, 0 %, 0 %, 44646 MiB, 64.55 W
2026/08/27 13:15:12.784, 1, 0 %, 0 %, 440 MiB, 78.32 W
2026/08/27 13:15:27.906, 0, 0 %, 0 %, 44646 MiB, 56.73 W
2026/08/27 13:15:27.930, 1, 0 %, 0 %, 440 MiB, 69.01 W
2026/08/27 13:15:43.047, 0, 0 %, 0 %, 44646 MiB, 47.97 W
2026/08/27 13:15:43.104, 1, 0 %, 0 %, 440 MiB, 80.75 W
2026/08/27 13:15:58.221, 0, 0 %, 0 %, 44646 MiB, 49.34 W
2026/08/27 13:15:58.335, 1, 0 %, 0 %, 440 MiB, 88.04 W
2026/08/27 13:16:13.455, 0, 0 %, 0 %, 44646 MiB, 57.21 W
2026/08/27 13:16:13.516, 1, 0 %, 0 %, 440 MiB, 81.17 W
2026/08/27 13:16:28.516, 0, 0 %, 0 %, 44646 MiB, 57.89 W
2026/08/27 13:16:28.516, 1, 0 %, 0 %, 440 MiB, 78.68 W
2026/08/27 13:16:43.518, 0, 0 %, 0 %, 44646 MiB, 48.20 W
2026/08/27 13:16:43.519, 1, 0 %, 0 %, 440 MiB, 80.71 W
2026/08/27 13:16:58.616, 0, 0 %, 0 %, 44646 MiB, 47.87 W
2026/08/27 13:16:58.711, 1, 0 %, 0 %, 440 MiB, 79.67 W
2026/08/27 13:17:13.832, 0, 0 %, 0 %, 44646 MiB, 57.99 W
2026/08/27 13:17:13.898, 1, 0 %, 0 %, 440 MiB, 81.42 W
2026/08/27 13:17:29.020, 0, 0 %, 0 %, 44886 MiB, 82.75 W
2026/08/27 13:17:29.020, 1, 8 %, 1 %, 43874 MiB, 81.42 W
2026/08/27 13:17:44.034, 0, 0 %, 0 %, 44896 MiB, 65.64 W
2026/08/27 13:17:44.035, 1, 0 %, 0 %, 43882 MiB, 72.81 W
2026/08/27 13:17:59.040, 0, 41 %, 6 %, 44930 MiB, 226.35 W
2026/08/27 13:17:59.103, 1, 0 %, 0 %, 43882 MiB, 79.06 W
2026/08/27 13:18:14.229, 0, 0 %, 0 %, 44932 MiB, 64.77 W
