step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.7cea500000000p-2	0x1.7a72a40000000p+4	0x1.1c970c0000000p+4	0x1.e75af40000000p+3	0x1.c2c5e20000000p+10
42	0x1.3fbd100000000p-2	0x1.67bfbe0000000p+3	0x1.2150200000000p+3	0x1.8fd36a0000000p+2	0x1.c2c5e20000000p+10
43	0x1.1ee0280000000p-2	0x1.ed5c820000000p+3	0x1.7206880000000p+3	0x1.41784a0000000p+3	0x1.c2c5e20000000p+10
44	0x1.b66ada0000000p-3	0x1.be29ec0000000p+3	0x1.4e48120000000p+3	0x1.23b9d00000000p+3	0x1.c2c5e20000000p+10
45	0x1.0e90c40000000p-2	0x1.192e140000000p+4	0x1.a691fc0000000p+3	0x1.6dd3200000000p+3	0x1.c2c5e20000000p+10
46	0x1.a7c16e0000000p-3	0x1.66310c0000000p+3	0x1.0eb7d20000000p+3	0x1.cab7520000000p+2	0x1.c2c5e20000000p+10
47	0x1.cc61f00000000p-2	0x1.d978a60000000p+3	0x1.961c480000000p+3	0x1.366e800000000p+2	0x1.c2c5e20000000p+10
48	0x1.8c57320000000p-3	0x1.8a92240000000p+2	0x1.454c460000000p+2	0x1.9eeafe0000000p+1	0x1.c2c5e20000000p+10
49	0x1.aa1b1a0000000p-3	0x1.d030600000000p+3	0x1.75db1e0000000p+3	0x1.0c972a0000000p+3	0x1.c2c5e20000000p+10
50	0x1.4b24c00000000p-2	0x1.6afef00000000p+3	0x1.2f82ce0000000p+3	0x1.54319c0000000p+2	0x1.c2c5e20000000p+10
51	0x1.ae7cc40000000p-3	0x1.02c3b00000000p+6	0x1.7cae700000000p+5	0x1.5e680c0000000p+5	0x1.c2c5e20000000p+10
52	0x1.09d3940000000p-2	0x1.3519b80000000p+3	0x1.f2295e0000000p+2	0x1.5d42e60000000p+2	0x1.c2c5e20000000p+10
53	0x1.78942a0000000p-3	0x1.fb8cac0000000p+1	0x1.98ced00000000p+1	0x1.040b740000000p+1	0x1.c2c5e20000000p+10
54	0x1.8c43540000000p-3	0x1.8c48fa0000000p+2	0x1.457a300000000p+2	0x1.9a3bae0000000p+1	0x1.c2c5e20000000p+10
55	0x1.cec3660000000p-3	0x1.7655440000000p+3	0x1.25b4d20000000p+3	0x1.c73dba0000000p+2	0x1.c2c5e20000000p+10
56	0x1.a0f3740000000p-3	0x1.7c58200000000p+3	0x1.21b34e0000000p+3	0x1.e356f60000000p+2	0x1.c2c5e20000000p+10
57	0x1.afb5d40000000p-3	0x1.7fb3620000000p+2	0x1.4ab2d40000000p+2	0x1.3ec8300000000p+1	0x1.c2c5e20000000p+10
58	0x1.bd25000000000p-3	0x1.58a8200000000p+3	0x1.0761900000000p+3	0x1.add7080000000p+2	0x1.c2c5e20000000p+10
59	0x1.7145020000000p-3	0x1.0cc1880000000p+3	0x1.95a4520000000p+2	0x1.5bab0c0000000p+2	0x1.c2c5e20000000p+10
60	0x1.2fa7100000000p-3	0x1.2f030c0000000p+3	0x1.cfbff20000000p+2	0x1.81f4dc0000000p+2	0x1.c2c5e20000000p+10
61	0x1.1c756a0000000p-3	0x1.535eba0000000p+2	0x1.02eef40000000p+2	0x1.a7c69e0000000p+1	0x1.c2c5e20000000p+10
62	0x1.46f52e0000000p-3	0x1.ca57d80000000p+2	0x1.5c69500000000p+2	0x1.24ad2a0000000p+2	0x1.c2c5e20000000p+10
63	0x1.d394a00000000p-3	0x1.ceb53c0000000p+2	0x1.7896320000000p+2	0x1.fcae300000000p+1	0x1.c2c5e20000000p+10
64	0x1.1be8760000000p-3	0x1.3bca200000000p+2	0x1.e9122c0000000p+1	0x1.8235d20000000p+1	0x1.c2c5e20000000p+10
65	0x1.ca8a360000000p-3	0x1.2d75c40000000p+2	0x1.e244040000000p+1	0x1.305afc0000000p+1	0x1.c2c5e40000000p+10
66	0x1.8ec9000000000p-3	0x1.1309de0000000p+4	0x1.8fc4c60000000p+3	0x1.77a80c0000000p+3	0x1.c2c5e20000000p+10
67	0x1.d25f240000000p-3	0x1.ed33820000000p+7	0x1.7680500000000p+7	0x1.40e5ce0000000p+7	0x1.c2c5e20000000p+10
68	0x1.8b3a620000000p-3	0x1.9b492e0000000p+2	0x1.3e22160000000p+2	0x1.f6e3de0000000p+1	0x1.c2c5e20000000p+10
