2026/08/27 00:10:25.811, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:26.697, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:26.896, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:27.802, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:27.803, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:28.862, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:29.230, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:30.452, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:30.766, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:31.294, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:31.378, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:31.998, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:31.999, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:32.932, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:32.932, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:34.295, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:34.295, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:34.873, 0, 0 %, 0 %, 1017 MiB, 68.60 W
2026/08/27 00:10:34.873, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:35.380, 0, 0 %, 0 %, 1017 MiB, 53.71 W
2026/08/27 00:10:35.380, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:35.997, 0, 0 %, 0 %, 1017 MiB, 68.64 W
2026/08/27 00:10:35.997, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:36.504, 0, 0 %, 0 %, 1017 MiB, 68.64 W
2026/08/27 00:10:36.514, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:37.131, 0, 0 %, 0 %, 1017 MiB, 83.51 W
2026/08/27 00:10:37.131, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:37.635, 0, 0 %, 0 %, 1017 MiB, 83.51 W
2026/08/27 00:10:37.721, 1, 0 %, 0 %, 9 MiB, 67.26 W
