step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
40	0x1.b4a5a00000000p-5	0x1.a30d4a0000000p-2	0x1.9dce5e0000000p-2	0x1.0762300000000p-5	0x1.c5e2f60000000p+10
41	0x1.9834360000000p-5	0x1.a564d60000000p-2	0x1.9f87060000000p-2	0x1.24d22a0000000p-5	0x1.c5e2f60000000p+10
42	0x1.b567ae0000000p-5	0x1.9af3900000000p-2	0x1.932bee0000000p-2	0x1.16ef880000000p-5	0x1.c5e2f60000000p+10
43	0x1.ba29740000000p-5	0x1.9ed7f20000000p-2	0x1.98f31e0000000p-2	0x1.14d5960000000p-5	0x1.c5e2f60000000p+10
44	0x1.8c351e0000000p-5	0x1.3b92de0000000p-2	0x1.35f1080000000p-2	0x1.96d4be0000000p-6	0x1.c5e2f60000000p+10
45	0x1.c278e60000000p-5	0x1.9036240000000p-2	0x1.8ac8460000000p-2	0x1.103a440000000p-5	0x1.c5e2f60000000p+10
46	0x1.ba3a4a0000000p-5	0x1.82f9a80000000p-2	0x1.7dc1660000000p-2	0x1.fe23ba0000000p-6	0x1.c5e2f60000000p+10
47	0x1.eca1260000000p-5	0x1.d2db680000000p-2	0x1.ca427e0000000p-2	0x1.4a63480000000p-5	0x1.c5e2f60000000p+10
48	0x1.c85ba60000000p-5	0x1.20eb880000000p-2	0x1.1c1c360000000p-2	0x1.7594120000000p-6	0x1.c5e2f40000000p+10
49	0x1.b6a00e0000000p-5	0x1.5e18ec0000000p-2	0x1.5821100000000p-2	0x1.b828fa0000000p-6	0x1.c5e2f40000000p+10
50	0x1.c7d54e0000000p-5	0x1.349bdc0000000p-2	0x1.2f643a0000000p-2	0x1.a0f7080000000p-6	0x1.c5e2f40000000p+10
51	0x1.994c760000000p-5	0x1.392e6a0000000p-2	0x1.33b4e60000000p-2	0x1.96a6680000000p-6	0x1.c5e2f40000000p+10
52	0x1.b63b3a0000000p-5	0x1.3119020000000p-2	0x1.2ce9140000000p-2	0x1.78ea7e0000000p-6	0x1.c5e2f40000000p+10
53	0x1.94eaae0000000p-5	0x1.1dea5e0000000p-2	0x1.1837da0000000p-2	0x1.6f67c20000000p-6	0x1.c5e2f40000000p+10
54	0x1.7128ea0000000p-5	0x1.03c02c0000000p-2	0x1.fb61a20000000p-3	0x1.44e14c0000000p-6	0x1.c5e2f40000000p+10
55	0x1.843bbe0000000p-5	0x1.0e6bdc0000000p-2	0x1.0893120000000p-2	0x1.647a3e0000000p-6	0x1.c5e2f40000000p+10
56	0x1.6dbf320000000p-5	0x1.37137e0000000p-2	0x1.31a62a0000000p-2	0x1.a7517e0000000p-6	0x1.c5e2f40000000p+10
57	0x1.6c1a2e0000000p-5	0x1.c5ed600000000p-3	0x1.ba02d20000000p-3	0x1.150ef80000000p-6	0x1.c5e2f40000000p+10
58	0x1.86c3d20000000p-5	0x1.0dffb60000000p-2	0x1.09130e0000000p-2	0x1.48089e0000000p-6	0x1.c5e2f40000000p+10
59	0x1.8d416c0000000p-5	0x1.4ce5bc0000000p-2	0x1.47aa7c0000000p-2	0x1.bf43940000000p-6	0x1.c5e2f40000000p+10
60	0x1.75ffb80000000p-5	0x1.06cec80000000p-2	0x1.0225140000000p-2	0x1.4e606e0000000p-6	0x1.c5e2f40000000p+10
