step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.db2bc40000000p-2	0x1.1e67e60000000p+5	0x1.a7c2ce0000000p+4	0x1.7f55380000000p+4	0x1.c2dda00000000p+10
42	0x1.576c700000000p-2	0x1.79e09a0000000p+3	0x1.1b499a0000000p+3	0x1.e6e6460000000p+2	0x1.c2dda00000000p+10
43	0x1.6a3abe0000000p-2	0x1.dc5f200000000p+4	0x1.45d78a0000000p+4	0x1.5a0be00000000p+4	0x1.c2dda00000000p+10
44	0x1.0bb4700000000p-2	0x1.ecea580000000p+3	0x1.5cfb4c0000000p+3	0x1.583df80000000p+3	0x1.c2dda40000000p+10
45	0x1.77810a0000000p-2	0x1.3a8a440000000p+7	0x1.cf516c0000000p+6	0x1.a96f6e0000000p+6	0x1.c2dda40000000p+10
46	0x1.1ad8720000000p-2	0x1.824d340000000p+5	0x1.1a4e040000000p+5	0x1.06238a0000000p+5	0x1.c2dda00000000p+10
47	0x1.fbb91a0000000p-2	0x1.bf84760000000p+4	0x1.2767a80000000p+4	0x1.4b8cc00000000p+4	0x1.c2dda40000000p+10
48	0x1.00ea260000000p-2	0x1.87dd560000000p+3	0x1.355efe0000000p+3	0x1.d753a00000000p+2	0x1.c2dda40000000p+10
49	0x1.e5cb3a0000000p-3	0x1.f999c60000000p+3	0x1.5126080000000p+3	0x1.757ff60000000p+3	0x1.c2dda00000000p+10
50	0x1.bc68c60000000p-2	0x1.5881e80000000p+5	0x1.ebac200000000p+4	0x1.dff7fe0000000p+4	0x1.c2dda00000000p+10
51	0x1.d5ca140000000p-3	0x1.5bbb020000000p+4	0x1.c0e0920000000p+3	0x1.07f5660000000p+4	0x1.c2dda40000000p+10
52	0x1.2c15d20000000p-2	0x1.d9cf420000000p+3	0x1.573d4e0000000p+3	0x1.41cecc0000000p+3	0x1.c2dda40000000p+10
53	0x1.015aae0000000p-2	0x1.d60a4e0000000p+4	0x1.5da8920000000p+4	0x1.38e0d60000000p+4	0x1.c2dda40000000p+10
54	0x1.fed85e0000000p-3	0x1.82a71e0000000p+4	0x1.04beee0000000p+4	0x1.1c668e0000000p+4	0x1.c2dda40000000p+10
55	0x1.1ec5500000000p-2	0x1.6402560000000p+5	0x1.055a9e0000000p+5	0x1.e17d060000000p+4	0x1.c2dda40000000p+10
56	0x1.0614c40000000p-2	0x1.85541e0000000p+5	0x1.1b79fe0000000p+5	0x1.0a99100000000p+5	0x1.c2dda40000000p+10
57	0x1.0a22360000000p-2	0x1.59b3460000000p+4	0x1.ebe2ac0000000p+3	0x1.e312320000000p+3	0x1.c2dda40000000p+10
58	0x1.82d0c60000000p-2	0x1.949a580000000p+5	0x1.0af0f20000000p+5	0x1.2f5bdc0000000p+5	0x1.c2dda40000000p+10
59	0x1.362e180000000p-2	0x1.94d5d20000000p+5	0x1.19c2bc0000000p+5	0x1.22873e0000000p+5	0x1.c2dda40000000p+10
