2026/08/26 20:47:06.918, 0, 0 %, 0 %, 1017 MiB, 80.40 W
2026/08/26 20:47:06.920, 1, 0 %, 0 %, 9 MiB, 95.34 W
2026/08/26 20:47:22.089, 0, 0 %, 0 %, 1017 MiB, 82.95 W
2026/08/26 20:47:22.091, 1, 0 %, 0 %, 9 MiB, 78.55 W
2026/08/26 20:47:37.234, 0, 0 %, 0 %, 1017 MiB, 70.10 W
2026/08/26 20:47:37.237, 1, 0 %, 0 %, 9 MiB, 66.17 W
2026/08/26 20:47:52.513, 0, 0 %, 0 %, 1017 MiB, 79.86 W
2026/08/26 20:47:52.515, 1, 0 %, 0 %, 9 MiB, 60.02 W
2026/08/26 20:48:07.550, 0, 0 %, 0 %, 44646 MiB, 87.39 W
2026/08/26 20:48:07.551, 1, 1 %, 0 %, 440 MiB, 63.78 W
2026/08/26 20:48:22.820, 0, 0 %, 0 %, 44646 MiB, 85.12 W
2026/08/26 20:48:22.821, 1, 1 %, 0 %, 440 MiB, 63.78 W
2026/08/26 20:48:38.087, 0, 0 %, 0 %, 44646 MiB, 82.81 W
2026/08/26 20:48:38.088, 1, 1 %, 0 %, 440 MiB, 63.39 W
2026/08/26 20:48:53.308, 0, 0 %, 0 %, 44646 MiB, 64.07 W
2026/08/26 20:48:53.309, 1, 1 %, 0 %, 440 MiB, 70.45 W
2026/08/26 20:49:08.453, 0, 0 %, 0 %, 44646 MiB, 56.82 W
2026/08/26 20:49:08.455, 1, 0 %, 0 %, 440 MiB, 57.82 W
2026/08/26 20:49:23.579, 0, 0 %, 0 %, 44646 MiB, 56.82 W
2026/08/26 20:49:23.581, 1, 0 %, 0 %, 440 MiB, 77.85 W
2026/08/26 20:49:38.884, 0, 0 %, 0 %, 44646 MiB, 56.82 W
2026/08/26 20:49:38.886, 1, 0 %, 0 %, 440 MiB, 69.99 W
2026/08/26 20:49:54.000, 0, 0 %, 0 %, 44646 MiB, 56.82 W
2026/08/26 20:49:54.002, 1, 0 %, 0 %, 440 MiB, 71.91 W
2026/08/26 20:50:09.241, 0, 0 %, 0 %, 44646 MiB, 60.41 W
2026/08/26 20:50:09.242, 1, 0 %, 0 %, 440 MiB, 56.06 W
2026/08/26 20:50:24.420, 0, 0 %, 0 %, 44886 MiB, 77.15 W
2026/08/26 20:50:24.422, 1, 0 %, 0 %, 43874 MiB, 79.26 W
2026/08/26 20:50:39.673, 0, 0 %, 0 %, 44896 MiB, 85.18 W
2026/08/26 20:50:39.675, 1, 5 %, 0 %, 43882 MiB, 89.32 W
2026/08/26 20:50:54.754, 0, 5 %, 0 %, 44896 MiB, 85.18 W
2026/08/26 20:50:54.755, 1, 28 %, 1 %, 43882 MiB, 89.32 W
2026/08/26 20:51:10.019, 0, 0 %, 0 %, 44896 MiB, 85.18 W
