2026/08/27 01:25:12.734, 0, 0 %, 0 %, 1017 MiB, 65.29 W
2026/08/27 01:25:12.737, 1, 0 %, 0 %, 9 MiB, 67.91 W
2026/08/27 01:25:27.743, 0, 0 %, 0 %, 1017 MiB, 75.19 W
2026/08/27 01:25:27.747, 1, 0 %, 0 %, 9 MiB, 76.75 W
2026/08/27 01:25:42.868, 0, 0 %, 0 %, 1017 MiB, 53.42 W
2026/08/27 01:25:42.986, 1, 0 %, 0 %, 9 MiB, 61.37 W
2026/08/27 01:25:58.109, 0, 0 %, 0 %, 1017 MiB, 81.12 W
2026/08/27 01:25:58.186, 1, 0 %, 0 %, 9 MiB, 75.48 W
2026/08/27 01:26:13.333, 0, 0 %, 0 %, 1017 MiB, 59.39 W
2026/08/27 01:26:13.345, 1, 0 %, 0 %, 9 MiB, 61.93 W
2026/08/27 01:26:28.463, 0, 0 %, 0 %, 1017 MiB, 64.08 W
2026/08/27 01:26:28.567, 1, 0 %, 0 %, 9 MiB, 75.80 W
2026/08/27 01:26:43.721, 0, 0 %, 0 %, 1017 MiB, 55.55 W
2026/08/27 01:26:43.797, 1, 0 %, 0 %, 9 MiB, 56.88 W
2026/08/27 01:26:58.916, 0, 0 %, 0 %, 44646 MiB, 78.43 W
2026/08/27 01:26:58.935, 1, 0 %, 0 %, 440 MiB, 79.59 W
2026/08/27 01:27:14.051, 0, 0 %, 0 %, 44646 MiB, 60.16 W
2026/08/27 01:27:14.052, 1, 0 %, 0 %, 440 MiB, 61.96 W
2026/08/27 01:27:29.122, 0, 0 %, 0 %, 44646 MiB, 81.69 W
2026/08/27 01:27:29.123, 1, 0 %, 0 %, 440 MiB, 71.39 W
2026/08/27 01:27:44.223, 0, 0 %, 0 %, 44646 MiB, 61.68 W
2026/08/27 01:27:44.223, 1, 0 %, 0 %, 440 MiB, 63.61 W
2026/08/27 01:27:59.223, 0, 0 %, 0 %, 44646 MiB, 70.73 W
2026/08/27 01:27:59.224, 1, 0 %, 0 %, 440 MiB, 70.70 W
2026/08/27 01:28:14.224, 0, 0 %, 0 %, 44646 MiB, 70.73 W
2026/08/27 01:28:14.312, 1, 0 %, 0 %, 440 MiB, 71.01 W
2026/08/27 01:28:29.464, 0, 0 %, 0 %, 44646 MiB, 70.73 W
2026/08/27 01:28:29.526, 1, 0 %, 0 %, 440 MiB, 62.52 W
2026/08/27 01:28:44.530, 0, 0 %, 0 %, 44646 MiB, 70.73 W
2026/08/27 01:28:44.534, 1, 0 %, 0 %, 440 MiB, 64.13 W
2026/08/27 01:28:59.541, 0, 0 %, 0 %, 44646 MiB, 53.48 W
2026/08/27 01:28:59.541, 1, 0 %, 0 %, 440 MiB, 64.13 W
2026/08/27 01:29:14.656, 0, 0 %, 0 %, 44646 MiB, 70.14 W
2026/08/27 01:29:14.666, 1, 0 %, 0 %, 440 MiB, 64.13 W
2026/08/27 01:29:29.796, 0, 0 %, 0 %, 44646 MiB, 49.53 W
2026/08/27 01:29:29.796, 1, 0 %, 0 %, 440 MiB, 64.23 W
2026/08/27 01:29:44.806, 0, 0 %, 0 %, 44646 MiB, 60.64 W
2026/08/27 01:29:44.807, 1, 0 %, 0 %, 440 MiB, 62.36 W
2026/08/27 01:29:59.818, 0, 0 %, 0 %, 44646 MiB, 63.56 W
2026/08/27 01:29:59.818, 1, 0 %, 0 %, 440 MiB, 74.96 W
2026/08/27 01:30:14.842, 0, 0 %, 0 %, 44646 MiB, 60.19 W
2026/08/27 01:30:14.932, 1, 0 %, 0 %, 440 MiB, 56.15 W
2026/08/27 01:30:30.051, 0, 0 %, 0 %, 44646 MiB, 68.14 W
2026/08/27 01:30:30.076, 1, 0 %, 0 %, 440 MiB, 82.86 W
2026/08/27 01:30:45.217, 0, 0 %, 0 %, 44646 MiB, 59.10 W
2026/08/27 01:30:45.279, 1, 0 %, 0 %, 440 MiB, 82.86 W
2026/08/27 01:31:00.396, 0, 0 %, 0 %, 44646 MiB, 58.26 W
2026/08/27 01:31:00.478, 1, 0 %, 0 %, 440 MiB, 82.86 W
2026/08/27 01:31:15.597, 0, 0 %, 0 %, 44646 MiB, 67.29 W
2026/08/27 01:31:15.669, 1, 0 %, 0 %, 440 MiB, 57.05 W
2026/08/27 01:31:30.789, 0, 0 %, 0 %, 44646 MiB, 67.29 W
2026/08/27 01:31:30.894, 1, 0 %, 0 %, 440 MiB, 59.22 W
2026/08/27 01:31:46.013, 0, 0 %, 0 %, 44886 MiB, 67.29 W
2026/08/27 01:31:46.013, 1, 0 %, 0 %, 43874 MiB, 84.46 W
2026/08/27 01:32:01.028, 0, 0 %, 0 %, 44896 MiB, 65.00 W
2026/08/27 01:32:01.028, 1, 1 %, 0 %, 43882 MiB, 84.97 W
2026/08/27 01:32:16.040, 0, 0 %, 0 %, 44896 MiB, 83.52 W
2026/08/27 01:32:16.040, 1, 5 %, 0 %, 43882 MiB, 78.59 W
2026/08/27 01:32:31.049, 0, 0 %, 0 %, 44896 MiB, 80.03 W
2026/08/27 01:32:31.049, 1, 0 %, 0 %, 43882 MiB, 70.14 W
2026/08/27 01:32:46.051, 0, 0 %, 0 %, 44896 MiB, 68.85 W
2026/08/27 01:32:46.099, 1, 1 %, 0 %, 43882 MiB, 80.35 W
2026/08/27 01:33:01.233, 0, 0 %, 0 %, 44896 MiB, 76.45 W
2026/08/27 01:33:01.233, 1, 0 %, 0 %, 43882 MiB, 89.44 W
2026/08/27 01:33:16.342, 0, 0 %, 0 %, 44896 MiB, 84.01 W
2026/08/27 01:33:16.342, 1, 0 %, 0 %, 43882 MiB, 89.44 W
2026/08/27 01:33:31.351, 0, 0 %, 0 %, 44896 MiB, 84.94 W
2026/08/27 01:33:31.352, 1, 0 %, 0 %, 43882 MiB, 89.44 W
2026/08/27 01:33:46.359, 0, 100 %, 29 %, 44984 MiB, 253.60 W
2026/08/27 01:33:46.401, 1, 100 %, 28 %, 43976 MiB, 81.74 W
2026/08/27 01:34:01.520, 0, 100 %, 29 %, 44998 MiB, 260.02 W
2026/08/27 01:34:01.644, 1, 100 %, 27 %, 43988 MiB, 297.03 W
2026/08/27 01:34:16.648, 0, 100 %, 34 %, 44998 MiB, 271.79 W
2026/08/27 01:34:16.743, 1, 100 %, 26 %, 43988 MiB, 279.55 W
2026/08/27 01:34:31.959, 0, 100 %, 25 %, 44998 MiB, 290.55 W
2026/08/27 01:34:31.959, 1, 93 %, 21 %, 43988 MiB, 280.58 W
2026/08/27 01:34:47.056, 0, 67 %, 12 %, 44998 MiB, 289.52 W
2026/08/27 01:34:47.056, 1, 100 %, 28 %, 43988 MiB, 277.35 W
2026/08/27 01:35:02.069, 0, 100 %, 26 %, 44998 MiB, 277.31 W
2026/08/27 01:35:02.261, 1, 100 %, 25 %, 43988 MiB, 298.78 W
2026/08/27 01:35:17.468, 0, 100 %, 29 %, 44998 MiB, 265.07 W
2026/08/27 01:35:17.668, 1, 100 %, 34 %, 43988 MiB, 279.51 W
2026/08/27 01:35:32.884, 0, 100 %, 29 %, 44998 MiB, 260.96 W
2026/08/27 01:35:32.884, 1, 100 %, 28 %, 43988 MiB, 267.53 W
2026/08/27 01:35:47.896, 0, 100 %, 24 %, 44998 MiB, 288.16 W
2026/08/27 01:35:48.094, 1, 100 %, 27 %, 43988 MiB, 286.00 W
2026/08/27 01:36:03.319, 0, 79 %, 18 %, 44998 MiB, 285.89 W
2026/08/27 01:36:03.451, 1, 100 %, 27 %, 43988 MiB, 281.65 W
2026/08/27 01:36:18.680, 0, 100 %, 26 %, 44998 MiB, 289.34 W
2026/08/27 01:36:18.884, 1, 100 %, 27 %, 43988 MiB, 298.45 W
2026/08/27 01:36:34.105, 0, 100 %, 36 %, 44998 MiB, 281.39 W
2026/08/27 01:36:34.257, 1, 100 %, 26 %, 43988 MiB, 277.09 W
2026/08/27 01:36:49.467, 0, 80 %, 18 %, 44998 MiB, 283.07 W
2026/08/27 01:36:49.467, 1, 100 %, 27 %, 43988 MiB, 281.85 W
2026/08/27 01:37:04.710, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:37:04.710, 1, 100 %, 24 %, 43988 MiB, 299.65 W
2026/08/27 01:37:19.730, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:37:19.730, 1, 100 %, 24 %, 43988 MiB, 105.95 W
2026/08/27 01:37:34.743, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:37:34.744, 1, 100 %, 24 %, 43988 MiB, 85.29 W
2026/08/27 01:37:49.845, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:37:49.846, 1, 100 %, 24 %, 43988 MiB, 99.07 W
2026/08/27 01:38:04.846, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:38:04.967, 1, 100 %, 24 %, 43988 MiB, 92.15 W
2026/08/27 01:38:20.104, 0, 0 %, 0 %, 44998 MiB, 284.06 W
2026/08/27 01:38:20.110, 1, 100 %, 24 %, 43988 MiB, 97.02 W
2026/08/27 01:38:35.221, 0, 100 %, 32 %, 44998 MiB, 258.01 W
2026/08/27 01:38:35.224, 1, 100 %, 27 %, 43988 MiB, 291.75 W
2026/08/27 01:38:50.287, 0, 100 %, 37 %, 44998 MiB, 275.27 W
2026/08/27 01:38:50.288, 1, 100 %, 27 %, 43988 MiB, 281.09 W
2026/08/27 01:39:05.387, 0, 100 %, 32 %, 44998 MiB, 270.26 W
2026/08/27 01:39:05.387, 1, 100 %, 23 %, 43988 MiB, 281.25 W
2026/08/27 01:39:20.387, 0, 100 %, 26 %, 44998 MiB, 271.39 W
