2026/08/27 12:13:48.182, 0, 0 %, 0 %, 1017 MiB, 60.48 W
2026/08/27 12:13:48.187, 1, 0 %, 0 %, 9 MiB, 77.18 W
2026/08/27 12:14:03.194, 0, 0 %, 0 %, 1017 MiB, 50.01 W
2026/08/27 12:14:03.264, 1, 0 %, 0 %, 9 MiB, 71.57 W
2026/08/27 12:14:18.386, 0, 0 %, 0 %, 1017 MiB, 51.53 W
2026/08/27 12:14:18.457, 1, 0 %, 0 %, 9 MiB, 72.79 W
2026/08/27 12:14:33.573, 0, 0 %, 0 %, 1017 MiB, 58.06 W
2026/08/27 12:14:33.574, 1, 0 %, 0 %, 9 MiB, 55.81 W
2026/08/27 12:14:48.577, 0, 0 %, 0 %, 1452 MiB, 58.06 W
2026/08/27 12:14:48.681, 1, 2 %, 0 %, 440 MiB, 77.60 W
2026/08/27 12:15:03.702, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:15:03.760, 1, 2 %, 0 %, 440 MiB, 77.60 W
2026/08/27 12:15:18.878, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:15:19.007, 1, 2 %, 0 %, 440 MiB, 77.60 W
2026/08/27 12:15:34.007, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:15:34.007, 1, 2 %, 0 %, 440 MiB, 66.86 W
2026/08/27 12:15:49.017, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:15:49.036, 1, 2 %, 0 %, 440 MiB, 78.49 W
2026/08/27 12:16:04.155, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:16:04.232, 1, 0 %, 0 %, 440 MiB, 74.93 W
2026/08/27 12:16:19.349, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:16:19.411, 1, 0 %, 0 %, 440 MiB, 78.79 W
2026/08/27 12:16:34.536, 0, 0 %, 0 %, 44646 MiB, 58.06 W
2026/08/27 12:16:34.554, 1, 0 %, 0 %, 440 MiB, 78.53 W
