2026/08/26 21:07:11.927, 1, 0 %, 0 %, 9 MiB, 30.03 W
2026/08/26 21:07:12.427, 0, 0 %, 0 %, 1017 MiB, 26.46 W
2026/08/26 21:07:12.427, 1, 0 %, 0 %, 9 MiB, 30.03 W
2026/08/26 21:07:12.927, 0, 0 %, 0 %, 1017 MiB, 26.34 W
2026/08/26 21:07:12.928, 1, 0 %, 0 %, 9 MiB, 29.94 W
2026/08/26 21:07:13.428, 0, 0 %, 0 %, 1017 MiB, 26.34 W
2026/08/26 21:07:13.428, 1, 0 %, 0 %, 9 MiB, 29.94 W
2026/08/26 21:07:13.928, 0, 0 %, 0 %, 1017 MiB, 26.24 W
2026/08/26 21:07:13.929, 1, 0 %, 0 %, 9 MiB, 29.85 W
2026/08/26 21:07:14.429, 0, 0 %, 0 %, 1017 MiB, 26.24 W
2026/08/26 21:07:14.429, 1, 0 %, 0 %, 9 MiB, 29.85 W
2026/08/26 21:07:14.929, 0, 0 %, 0 %, 1017 MiB, 26.37 W
2026/08/26 21:07:14.930, 1, 0 %, 0 %, 9 MiB, 29.85 W
2026/08/26 21:07:15.430, 0, 0 %, 0 %, 1017 MiB, 26.37 W
2026/08/26 21:07:15.430, 1, 0 %, 0 %, 9 MiB, 29.85 W
2026/08/26 21:07:15.930, 0, 0 %, 0 %, 1017 MiB, 26.23 W
2026/08/26 21:07:15.931, 1, 0 %, 0 %, 9 MiB, 29.92 W
2026/08/26 21:07:16.431, 0, 0 %, 0 %, 1017 MiB, 26.23 W
2026/08/26 21:07:16.431, 1, 0 %, 0 %, 9 MiB, 29.92 W
2026/08/26 21:07:16.931, 0, 0 %, 0 %, 1017 MiB, 26.00 W
2026/08/26 21:07:16.932, 1, 0 %, 0 %, 9 MiB, 29.81 W
2026/08/26 21:07:17.432, 0, 0 %, 0 %, 1017 MiB, 26.00 W
2026/08/26 21:07:17.432, 1, 0 %, 0 %, 9 MiB, 29.81 W
2026/08/26 21:07:17.932, 0, 0 %, 0 %, 1017 MiB, 25.94 W
2026/08/26 21:07:17.933, 1, 0 %, 0 %, 9 MiB, 29.60 W
2026/08/26 21:07:18.433, 0, 0 %, 0 %, 1017 MiB, 25.94 W
2026/08/26 21:07:18.433, 1, 0 %, 0 %, 9 MiB, 29.60 W
2026/08/26 21:07:18.933, 0, 0 %, 0 %, 1017 MiB, 25.96 W
2026/08/26 21:07:18.933, 1, 0 %, 0 %, 9 MiB, 29.62 W
2026/08/26 21:07:19.434, 0, 0 %, 0 %, 1017 MiB, 25.96 W
2026/08/26 21:07:19.434, 1, 0 %, 0 %, 9 MiB, 29.62 W
2026/08/26 21:07:19.934, 0, 0 %, 0 %, 1017 MiB, 25.86 W
2026/08/26 21:07:19.934, 1, 0 %, 0 %, 9 MiB, 29.60 W
