1787622580,0, 0, 0
1787622580,1, 0, 0
1787622580,2, 0, 0
1787622580,3, 0, 0
1787622595,0, 0, 0
1787622595,1, 0, 0
1787622595,2, 0, 0
1787622595,3, 0, 0
1787622610,0, 0, 43495
1787622610,1, 0, 273
1787622610,2, 0, 273
1787622610,3, 0, 273
1787622625,0, 0, 43495
1787622625,1, 0, 273
1787622625,2, 0, 273
1787622625,3, 0, 273
1787622640,0, 0, 43495
1787622640,1, 0, 273
1787622640,2, 0, 273
1787622640,3, 0, 273
1787622656,0, 0, 43495
1787622656,1, 0, 273
1787622656,2, 0, 273
1787622656,3, 0, 273
1787622671,0, 0, 43495
1787622671,1, 0, 273
1787622671,2, 0, 273
1787622671,3, 0, 273
1787622686,0, 0, 43495
1787622686,1, 0, 273
1787622686,2, 0, 273
1787622686,3, 0, 273
1787622701,0, 0, 43495
1787622701,1, 0, 273
1787622701,2, 0, 273
1787622701,3, 0, 273
1787622716,0, 0, 43495
1787622716,1, 0, 273
1787622716,2, 0, 273
1787622716,3, 0, 273
1787622731,0, 0, 43495
1787622731,1, 0, 273
1787622731,2, 0, 273
1787622731,3, 0, 273
1787622746,0, 0, 43635
1787622746,1, 0, 43647
1787622746,2, 0, 43631
1787622746,3, 0, 43647
1787622761,0, 99, 43651
1787622761,1, 100, 43663
1787622761,2, 75, 43647
1787622761,3, 86, 43663
1787622776,0, 0, 43651
1787622776,1, 0, 43663
1787622776,2, 0, 43647
1787622776,3, 0, 43663
1787622791,0, 0, 43651
1787622791,1, 0, 43663
1787622791,2, 0, 43647
1787622791,3, 0, 43663
1787622806,0, 0, 43651
1787622806,1, 0, 43663
1787622806,2, 0, 43647
1787622806,3, 0, 43663
1787622821,0, 93, 43679
1787622821,1, 0, 43663
1787622821,2, 0, 43647
1787622821,3, 0, 43663
1787622837,0, 0, 43687
1787622837,1, 0, 43663
1787622837,2, 0, 43647
1787622837,3, 0, 43663
1787622852,0, 0, 43687
1787622852,1, 0, 43663
1787622852,2, 0, 43647
1787622852,3, 0, 43663
1787622867,0, 0, 43687
1787622867,1, 0, 43663
1787622867,2, 0, 43647
1787622867,3, 0, 43663
1787622882,0, 100, 43751
1787622882,1, 100, 43749
1787622882,2, 100, 43733
1787622882,3, 100, 43749
1787622897,0, 100, 43751
1787622897,1, 100, 43749
1787622897,2, 100, 43733
