2026/08/27 02:25:15.518, 0, 0 %, 0 %, 1017 MiB, 56.62 W
2026/08/27 02:25:15.522, 1, 0 %, 0 %, 9 MiB, 70.69 W
2026/08/27 02:25:30.523, 0, 0 %, 0 %, 1017 MiB, 83.65 W
2026/08/27 02:25:30.524, 1, 0 %, 0 %, 9 MiB, 82.26 W
2026/08/27 02:25:45.561, 0, 0 %, 0 %, 1017 MiB, 54.82 W
2026/08/27 02:25:45.562, 1, 0 %, 0 %, 9 MiB, 65.49 W
2026/08/27 02:26:00.562, 0, 0 %, 0 %, 1017 MiB, 83.50 W
2026/08/27 02:26:00.566, 1, 0 %, 0 %, 9 MiB, 76.13 W
2026/08/27 02:26:15.571, 0, 0 %, 0 %, 1017 MiB, 55.32 W
2026/08/27 02:26:15.686, 1, 0 %, 0 %, 9 MiB, 70.48 W
2026/08/27 02:26:30.805, 0, 0 %, 0 %, 44646 MiB, 77.13 W
2026/08/27 02:26:30.894, 1, 0 %, 0 %, 440 MiB, 70.68 W
2026/08/27 02:26:46.014, 0, 0 %, 0 %, 44646 MiB, 65.81 W
2026/08/27 02:26:46.023, 1, 0 %, 0 %, 440 MiB, 72.37 W
2026/08/27 02:27:01.150, 0, 0 %, 0 %, 44646 MiB, 51.35 W
2026/08/27 02:27:01.156, 1, 0 %, 0 %, 440 MiB, 63.35 W
2026/08/27 02:27:16.164, 0, 0 %, 0 %, 44646 MiB, 79.74 W
2026/08/27 02:27:16.168, 1, 0 %, 0 %, 440 MiB, 87.01 W
2026/08/27 02:27:31.177, 0, 0 %, 0 %, 44646 MiB, 52.42 W
2026/08/27 02:27:31.245, 1, 0 %, 0 %, 440 MiB, 87.01 W
2026/08/27 02:27:46.362, 0, 0 %, 0 %, 44646 MiB, 66.71 W
2026/08/27 02:27:46.469, 1, 0 %, 0 %, 440 MiB, 87.01 W
2026/08/27 02:28:01.611, 0, 0 %, 0 %, 44646 MiB, 82.05 W
2026/08/27 02:28:01.613, 1, 0 %, 0 %, 440 MiB, 79.61 W
2026/08/27 02:28:16.711, 0, 0 %, 0 %, 44646 MiB, 57.54 W
2026/08/27 02:28:16.711, 1, 0 %, 0 %, 440 MiB, 67.94 W
2026/08/27 02:28:31.719, 0, 0 %, 0 %, 44646 MiB, 81.73 W
2026/08/27 02:28:31.719, 1, 0 %, 0 %, 440 MiB, 74.84 W
2026/08/27 02:28:46.727, 0, 0 %, 0 %, 44886 MiB, 76.77 W
2026/08/27 02:28:46.839, 1, 0 %, 0 %, 43874 MiB, 72.13 W
2026/08/27 02:29:01.959, 0, 34 %, 1 %, 44896 MiB, 84.59 W
2026/08/27 02:29:01.960, 1, 0 %, 0 %, 43882 MiB, 71.08 W
2026/08/27 02:29:17.060, 0, 0 %, 0 %, 44930 MiB, 84.83 W
2026/08/27 02:29:17.174, 1, 0 %, 0 %, 43882 MiB, 80.29 W
2026/08/27 02:29:32.294, 0, 0 %, 0 %, 44930 MiB, 68.72 W
2026/08/27 02:29:32.294, 1, 0 %, 0 %, 43882 MiB, 63.79 W
2026/08/27 02:29:47.298, 0, 15 %, 0 %, 45014 MiB, 68.72 W
2026/08/27 02:29:47.399, 1, 100 %, 41 %, 43990 MiB, 88.66 W
2026/08/27 02:30:02.669, 0, 0 %, 0 %, 45014 MiB, 213.85 W
2026/08/27 02:30:02.669, 1, 100 %, 43 %, 43990 MiB, 87.76 W
2026/08/27 02:30:17.669, 0, 0 %, 0 %, 45014 MiB, 213.85 W
2026/08/27 02:30:17.670, 1, 0 %, 0 %, 43990 MiB, 66.41 W
2026/08/27 02:30:32.678, 0, 100 %, 60 %, 45022 MiB, 256.45 W
2026/08/27 02:30:32.696, 1, 100 %, 43 %, 44000 MiB, 268.50 W
2026/08/27 02:30:47.951, 0, 100 %, 90 %, 45022 MiB, 233.08 W
2026/08/27 02:30:48.122, 1, 100 %, 42 %, 44000 MiB, 233.01 W
2026/08/27 02:31:03.389, 0, 100 %, 42 %, 45022 MiB, 255.37 W
2026/08/27 02:31:03.639, 1, 100 %, 41 %, 44000 MiB, 274.20 W
2026/08/27 02:31:18.916, 0, 100 %, 46 %, 45022 MiB, 234.40 W
2026/08/27 02:31:18.917, 1, 100 %, 51 %, 44000 MiB, 233.52 W
2026/08/27 02:31:33.986, 0, 100 %, 42 %, 45022 MiB, 237.15 W
2026/08/27 02:31:34.074, 1, 100 %, 41 %, 44000 MiB, 261.01 W
2026/08/27 02:31:49.358, 0, 100 %, 41 %, 45022 MiB, 258.35 W
2026/08/27 02:31:49.359, 1, 100 %, 49 %, 44000 MiB, 266.89 W
2026/08/27 02:32:04.597, 0, 100 %, 40 %, 45022 MiB, 249.76 W
2026/08/27 02:32:04.597, 1, 100 %, 46 %, 44000 MiB, 255.39 W
2026/08/27 02:32:19.672, 0, 100 %, 39 %, 45022 MiB, 260.28 W
2026/08/27 02:32:19.672, 1, 99 %, 36 %, 44000 MiB, 245.67 W
2026/08/27 02:32:34.686, 0, 100 %, 63 %, 45022 MiB, 265.28 W
2026/08/27 02:32:34.686, 1, 100 %, 40 %, 44000 MiB, 267.88 W
2026/08/27 02:32:49.688, 0, 100 %, 46 %, 45022 MiB, 233.39 W
2026/08/27 02:32:49.689, 1, 100 %, 40 %, 44000 MiB, 238.84 W
2026/08/27 02:33:04.851, 0, 100 %, 46 %, 45022 MiB, 258.14 W
2026/08/27 02:33:05.009, 1, 58 %, 63 %, 44000 MiB, 268.25 W
2026/08/27 02:33:20.298, 0, 100 %, 40 %, 45022 MiB, 229.80 W
2026/08/27 02:33:20.424, 1, 100 %, 38 %, 44000 MiB, 240.99 W
2026/08/27 02:33:35.590, 0, 100 %, 44 %, 45022 MiB, 262.21 W
2026/08/27 02:33:35.591, 1, 100 %, 41 %, 44000 MiB, 267.12 W
2026/08/27 02:33:50.778, 0, 100 %, 38 %, 45022 MiB, 228.89 W
2026/08/27 02:33:50.863, 1, 100 %, 40 %, 44000 MiB, 270.66 W
2026/08/27 02:34:06.025, 0, 100 %, 40 %, 45022 MiB, 261.68 W
2026/08/27 02:34:06.096, 1, 100 %, 41 %, 44000 MiB, 268.04 W
2026/08/27 02:34:21.308, 0, 17 %, 1 %, 45022 MiB, 262.63 W
2026/08/27 02:34:21.308, 1, 100 %, 40 %, 44000 MiB, 248.98 W
2026/08/27 02:34:36.414, 0, 47 %, 5 %, 45022 MiB, 229.61 W
2026/08/27 02:34:36.414, 1, 13 %, 1 %, 44000 MiB, 241.29 W
2026/08/27 02:34:51.620, 0, 100 %, 44 %, 45022 MiB, 229.02 W
2026/08/27 02:34:51.864, 1, 100 %, 100 %, 44000 MiB, 244.93 W
2026/08/27 02:35:07.101, 0, 41 %, 2 %, 45022 MiB, 233.17 W
2026/08/27 02:35:07.134, 1, 100 %, 39 %, 44000 MiB, 248.13 W
2026/08/27 02:35:22.369, 0, 100 %, 39 %, 45022 MiB, 263.56 W
2026/08/27 02:35:22.370, 1, 100 %, 39 %, 44000 MiB, 246.19 W
2026/08/27 02:35:37.395, 0, 93 %, 100 %, 45022 MiB, 261.70 W
2026/08/27 02:35:37.395, 1, 100 %, 97 %, 44000 MiB, 268.72 W
2026/08/27 02:35:52.519, 0, 100 %, 88 %, 45022 MiB, 263.49 W
2026/08/27 02:35:52.519, 1, 100 %, 38 %, 44000 MiB, 270.14 W
2026/08/27 02:36:07.542, 0, 99 %, 41 %, 45022 MiB, 261.15 W
2026/08/27 02:36:07.542, 1, 100 %, 41 %, 44000 MiB, 247.33 W
2026/08/27 02:36:22.764, 0, 50 %, 54 %, 45022 MiB, 239.75 W
2026/08/27 02:36:22.764, 1, 0 %, 0 %, 44000 MiB, 272.65 W
