1787607621.461626945,0, 0, 1017
1787607621.461626945,1, 0, 9
1787607626.500016557,0, 0, 1017
1787607626.500016557,1, 0, 9
1787607631.542612542,0, 0, 1017
1787607631.542612542,1, 0, 9
1787607636.578417776,0, 0, 1017
1787607636.578417776,1, 0, 9
1787607641.618048571,0, 0, 1017
1787607641.618048571,1, 0, 9
1787607646.654179354,0, 0, 1017
1787607646.654179354,1, 0, 9
1787607651.693612844,0, 0, 1017
1787607651.693612844,1, 0, 9
1787607656.730691019,0, 0, 1017
1787607656.730691019,1, 0, 9
1787607661.768972110,0, 0, 44646
1787607661.768972110,1, 0, 440
1787607666.803544966,0, 0, 44646
1787607666.803544966,1, 0, 440
1787607671.838906686,0, 0, 44646
1787607671.838906686,1, 0, 440
1787607676.875256740,0, 0, 44646
1787607676.875256740,1, 0, 440
1787607681.914651272,0, 0, 44646
1787607681.914651272,1, 0, 440
1787607686.950239423,0, 0, 44646
1787607686.950239423,1, 0, 440
1787607691.992361609,0, 0, 44646
1787607691.992361609,1, 0, 440
1787607697.029763281,0, 0, 44646
1787607697.029763281,1, 0, 440
1787607702.070052797,0, 0, 44646
1787607702.070052797,1, 0, 440
1787607707.106373508,0, 0, 44646
1787607707.106373508,1, 0, 440
1787607712.143160689,0, 0, 44646
1787607712.143160689,1, 0, 440
1787607717.180146157,0, 0, 44646
1787607717.180146157,1, 0, 440
1787607722.217054941,0, 0, 44646
1787607722.217054941,1, 0, 440
1787607727.257211278,0, 0, 44646
1787607727.257211278,1, 0, 440
1787607732.293910738,0, 0, 44646
1787607732.293910738,1, 0, 440
1787607737.420508407,0, 0, 44646
1787607737.420508407,1, 0, 440
1787607742.455862388,0, 0, 44646
1787607742.455862388,1, 0, 440
1787607747.644449347,0, 0, 44646
1787607747.644449347,1, 0, 440
1787607752.861555310,0, 0, 44646
1787607752.861555310,1, 0, 440
1787607758.039066139,0, 0, 44646
1787607758.039066139,1, 0, 440
1787607763.199678761,0, 0, 44646
1787607763.199678761,1, 0, 440
1787607768.239896161,0, 0, 44646
1787607768.239896161,1, 0, 440
1787607773.450533028,0, 0, 44646
1787607773.450533028,1, 0, 440
1787607778.759169601,0, 0, 44646
1787607778.759169601,1, 0, 440
1787607784.037744394,0, 0, 44646
1787607784.037744394,1, 0, 440
1787607789.237491991,0, 0, 44646
1787607789.237491991,1, 0, 440
1787607794.461681796,0, 0, 44646
1787607794.461681796,1, 0, 440
1787607799.504042354,0, 0, 44646
1787607799.504042354,1, 0, 43634
1787607804.545504543,0, 0, 44886
1787607804.545504543,1, 0, 43874
1787607809.829195254,0, 0, 44886
1787607809.829195254,1, 0, 43874
1787607814.969379764,0, 82, 44894
1787607814.969379764,1, 97, 43882
1787607820.008360651,0, 0, 44896
1787607820.008360651,1, 0, 43882
1787607825.157689253,0, 0, 44896
1787607825.157689253,1, 0, 43882
1787607830.211954776,0, 0, 44896
1787607830.211954776,1, 0, 43882
1787607835.258150550,0, 98, 44926
1787607835.258150550,1, 0, 43882
1787607840.295517275,0, 0, 44926
1787607840.295517275,1, 0, 43882
1787607845.331423790,0, 0, 44926
1787607845.331423790,1, 0, 43882
1787607850.506424786,0, 0, 44926
1787607850.506424786,1, 0, 43882
1787607855.740832906,0, 0, 44926
1787607855.740832906,1, 0, 43882
1787607860.948467732,0, 0, 44926
1787607860.948467732,1, 0, 43882
1787607865.984977943,0, 0, 44926
1787607865.984977943,1, 0, 43882
1787607871.210419910,0, 0, 44926
1787607871.210419910,1, 0, 43882
1787607876.513418747,0, 100, 45010
