step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
41	0x1.2f6cb40000000p-2	0x1.733dc60000000p+3	0x1.2d86a80000000p+3	0x1.84d23a0000000p+2	0x1.c2c5e20000000p+10
42	0x1.055d200000000p-2	0x1.3c280c0000000p+3	0x1.06b4bc0000000p+3	0x1.497b300000000p+2	0x1.c2c5e20000000p+10
43	0x1.d6ad040000000p-3	0x1.6a172a0000000p+2	0x1.2bb0440000000p+2	0x1.73ca2c0000000p+1	0x1.c2c5e20000000p+10
44	0x1.704b7a0000000p-3	0x1.0d505e0000000p+2	0x1.ab730e0000000p+1	0x1.27420a0000000p+1	0x1.c2c5e20000000p+10
45	0x1.a03ef40000000p-3	0x1.81f5e20000000p+2	0x1.3dfb1a0000000p+2	0x1.84df320000000p+1	0x1.c2c5e20000000p+10
46	0x1.5a897a0000000p-3	0x1.64befe0000000p+2	0x1.137dfe0000000p+2	0x1.a785f00000000p+1	0x1.c2c5e20000000p+10
47	0x1.a6473e0000000p-2	0x1.df79400000000p+3	0x1.8e4b1c0000000p+3	0x1.c011f00000000p+2	0x1.c2c5e20000000p+10
48	0x1.5978800000000p-3	0x1.d718fc0000000p+2	0x1.7243680000000p+2	0x1.1b085c0000000p+2	0x1.c2c5e20000000p+10
49	0x1.3a3d560000000p-3	0x1.5591100000000p+2	0x1.08fff20000000p+2	0x1.9488380000000p+1	0x1.c2c5e20000000p+10
50	0x1.2a0d640000000p-2	0x1.5d178c0000000p+3	0x1.1ed4420000000p+3	0x1.698b0c0000000p+2	0x1.c2c5e20000000p+10
51	0x1.3038f00000000p-3	0x1.577cc80000000p+2	0x1.139e660000000p+2	0x1.85a1640000000p+1	0x1.c2c5e20000000p+10
52	0x1.b367540000000p-3	0x1.847b7a0000000p+2	0x1.400e920000000p+2	0x1.9c8c2c0000000p+1	0x1.c2c5e20000000p+10
53	0x1.4928f40000000p-3	0x1.ae71e40000000p+1	0x1.5f6b600000000p+1	0x1.b0f6b20000000p+0	0x1.c2c5e20000000p+10
54	0x1.54eee60000000p-3	0x1.e388e00000000p+1	0x1.86df2e0000000p+1	0x1.d97a440000000p+0	0x1.c2c5e20000000p+10
55	0x1.930f220000000p-3	0x1.68e8dc0000000p+2	0x1.2669f40000000p+2	0x1.7cf9ee0000000p+1	0x1.c2c5e20000000p+10
56	0x1.59f6020000000p-3	0x1.1294840000000p+3	0x1.9dc3480000000p+2	0x1.5f550e0000000p+2	0x1.c2c5e20000000p+10
57	0x1.6bd5aa0000000p-3	0x1.33911e0000000p+2	0x1.0013520000000p+2	0x1.14efe80000000p+1	0x1.c2c5e20000000p+10
58	0x1.91d3760000000p-3	0x1.33a5fa0000000p+2	0x1.faa0360000000p+1	0x1.23a5820000000p+1	0x1.c2c5e20000000p+10
59	0x1.427ac40000000p-3	0x1.06ad900000000p+2	0x1.a016640000000p+1	0x1.32404a0000000p+1	0x1.c2c5e20000000p+10
60	0x1.011aae0000000p-3	0x1.c328c00000000p+2	0x1.571fde0000000p+2	0x1.21495a0000000p+2	0x1.c2c5e20000000p+10
61	0x1.da17560000000p-4	0x1.cbb4020000000p+1	0x1.71ba2e0000000p+1	0x1.0089880000000p+1	0x1.c2c5e20000000p+10
62	0x1.1648060000000p-3	0x1.cded9a0000000p+2	0x1.5fbf7c0000000p+2	0x1.27dcde0000000p+2	0x1.c2c5e20000000p+10
63	0x1.918e6e0000000p-3	0x1.50b3060000000p+2	0x1.1405280000000p+2	0x1.66d2da0000000p+1	0x1.c2c5e40000000p+10
64	0x1.eeb5740000000p-4	0x1.3fe16a0000000p+1	0x1.0c1cdc0000000p+1	0x1.2e4f2e0000000p+0	0x1.c2c5e20000000p+10
65	0x1.aa01140000000p-3	0x1.37f9560000000p+3	0x1.e24a160000000p+2	0x1.8073000000000p+2	0x1.c2c5e40000000p+10
66	0x1.517db60000000p-3	0x1.67bdec0000000p+2	0x1.2c96220000000p+2	0x1.75133c0000000p+1	0x1.c2c5e20000000p+10
67	0x1.1b14de0000000p-3	0x1.351c5a0000000p+3	0x1.d181d20000000p+2	0x1.943bde0000000p+2	0x1.c2c5e20000000p+10
68	0x1.492f360000000p-3	0x1.a056960000000p+1	0x1.4bf3ba0000000p+1	0x1.d485c20000000p+0	0x1.c2c5e40000000p+10
69	0x1.f5eff00000000p-4	0x1.4f0dbc0000000p+3	0x1.ff09260000000p+2	0x1.adce120000000p+2	0x1.c2c5e20000000p+10
70	0x1.3656060000000p-3	0x1.176e780000000p+3	0x1.c323fa0000000p+2	0x1.4473840000000p+2	0x1.c2c5e40000000p+10
71	0x1.e5af6a0000000p-4	0x1.886e200000000p+3	0x1.271f640000000p+3	0x1.01c6c00000000p+3	0x1.c2c5e40000000p+10
72	0x1.f8cffa0000000p-4	0x1.c92bbc0000000p+3	0x1.54cfee0000000p+3	0x1.3006720000000p+3	0x1.c2c5e40000000p+10
73	0x1.9cac200000000p-4	0x1.088f440000000p+2	0x1.9c6f560000000p+1	0x1.43abbe0000000p+1	0x1.c2c5e40000000p+10
74	0x1.68a7c00000000p-3	0x1.b7119a0000000p+2	0x1.5a284c0000000p+2	0x1.0409fa0000000p+2	0x1.c2c5e40000000p+10
75	0x1.4e73260000000p-3	0x1.1f351e0000000p+3	0x1.b4de6c0000000p+2	0x1.71d6440000000p+2	0x1.c2c5e40000000p+10
76	0x1.6ef0ea0000000p-3	0x1.467d240000000p+2	0x1.e8e73a0000000p+1	0x1.83f5080000000p+1	0x1.c2c5e20000000p+10
77	0x1.699ed00000000p-3	0x1.282bdc0000000p+7	0x1.dd6c3a0000000p+6	0x1.5e8c4e0000000p+6	0x1.c2c5e20000000p+10
78	0x1.8438ec0000000p-4	0x1.2ca1ba0000000p+1	0x1.e7245e0000000p+0	0x1.46851e0000000p+0	0x1.c2c5e20000000p+10
79	0x1.d75c200000000p-4	0x1.3f94ce0000000p+2	0x1.dc00600000000p+1	0x1.a15aa60000000p+1	0x1.c2c5e20000000p+10
80	0x1.41059e0000000p-3	0x1.8259a60000000p+4	0x1.2275640000000p+4	0x1.fb4dba0000000p+3	0x1.c2c5e40000000p+10
81	0x1.d48b600000000p-4	0x1.efb88a0000000p+1	0x1.8815fe0000000p+1	0x1.26d23a0000000p+1	0x1.c2c5e40000000p+10
82	0x1.a95c060000000p-4	0x1.6ac8a00000000p+2	0x1.190b140000000p+2	0x1.c5bffe0000000p+1	0x1.c2c5e20000000p+10
83	0x1.739a0c0000000p-3	0x1.f25d920000000p+7	0x1.7aa3bc0000000p+7	0x1.43f6f60000000p+7	0x1.c2c5e40000000p+10
84	0x1.9599240000000p-4	0x1.e55ec80000000p+2	0x1.7c482c0000000p+2	0x1.2827fe0000000p+2	0x1.c2c5e40000000p+10
85	0x1.d1c0100000000p-4	0x1.6845ae0000000p+2	0x1.0dfd220000000p+2	0x1.d79e9c0000000p+1	0x1.c2c5e20000000p+10
86	0x1.1d973a0000000p-3	0x1.864c620000000p+2	0x1.2753b00000000p+2	0x1.f16e180000000p+1	0x1.c2c5e40000000p+10
87	0x1.e4d8e00000000p-4	0x1.7c9ce80000000p+2	0x1.1bea620000000p+2	0x1.f68bd40000000p+1	0x1.c2c5e40000000p+10
88	0x1.dc3f440000000p-4	0x1.83afa80000000p+1	0x1.31529e0000000p+1	0x1.c8616e0000000p+0	0x1.c2c5e20000000p+10
89	0x1.8d91b00000000p-4	0x1.0309560000000p+3	0x1.84e4c00000000p+2	0x1.54997e0000000p+2	0x1.c2c5e20000000p+10
