1789767285.585695716,19181568,339968,0,5,146966
1789767300.607891780,337879040,50266112,0,281,7428602
1789767315.613248999,364122112,221048832,0,1326,14452149
1789767330.619380235,323366912,323915776,0,2298,20828753
1789767345.907415048,6574571520,5186134016,10485760,2300,29741091
1789767361.432591040,16867434496,3603582976,10485760,2313,45106368
1789767376.665956640,4715466752,3459678208,10485760,3079,59487416
1789767391.685312003,5407178752,4502573056,18874368,6143,66232959
1789767406.714913306,7306878976,5020336128,27201536,9207,74842429
1789767421.737079662,8182738944,5241921536,41828352,10161,85516987
1789767436.779458503,9581920256,5310898176,41828352,10596,99201429
1789767451.811959652,9581858816,5310898176,41828352,10596,114179862
1789767466.831425216,9581944832,5310902272,41828352,10596,129153195
1789767481.856880456,9358848000,5314228224,41828352,10631,143960415
1789767496.903553869,9365377024,5314691072,41828352,10637,158838093
1789767511.945454623,9422901248,5326147584,41828352,10708,173648277
1789767526.986307558,9546493952,5331292160,41828352,10737,188456359
1789767542.025413869,9575485440,5331292160,41828352,10737,202865794
1789767557.056530589,9702821888,5331296256,41828352,10737,217307737
1789767572.076370062,9814380544,5331304448,41828352,10737,231772783
1789767587.100923821,9974710272,5351927808,41828352,10910,246094984
1789767602.134692520,8222846976,5503287296,27201536,12491,256070630
1789767617.156746107,8789331968,5521551360,41828352,12523,268641027
1789767632.190769700,8912445440,5521559552,41828352,12523,283040182
1789767647.208838957,9023606784,5521559552,41828352,12523,297485374
1789767662.223613722,9130594304,5521563648,41828352,12523,311926040
1789767677.242932767,9238683648,5521567744,41828352,12523,326277526
1789767692.260622936,9346633728,5521571840,41828352,12523,340732569
1789767707.279821454,9454575616,5521571840,41828352,12523,355204725
1789767722.298613013,9561530368,5521571840,41828352,12523,369672007
1789767737.316275818,9669963776,5521580032,41828352,12523,384004761
1789767752.343358197,9793282048,5523419136,41828352,12523,398669689
